frame,x,y,manual
0,1802.00,644.00,True
1,1802.00,644.00,False
2,1802.00,644.00,False
3,1802.00,644.00,False
4,1802.00,644.00,False
5,1802.00,644.00,False
6,1802.00,644.00,False
7,1802.00,644.00,False
8,1802.00,644.00,False
9,1802.00,644.00,False
10,1802.00,644.00,False
11,1801.00,644.00,False
12,1801.00,644.00,False
13,1801.00,644.00,False
14,1801.00,644.00,False
15,1801.00,644.00,False
16,1801.00,644.00,False
17,1801.00,644.00,False
18,1801.00,644.00,False
19,1801.00,644.00,False
20,1801.00,644.00,False
21,1801.00,644.00,False
22,1801.00,644.00,False
23,1801.00,644.00,False
24,1801.00,644.00,False
25,1801.00,644.00,False
26,1801.00,644.00,False
27,1801.00,644.00,False
28,1801.00,644.00,False
29,1801.00,644.00,False
30,1801.00,644.00,False
31,1801.00,644.00,False
32,1801.00,644.00,False
33,1801.00,644.00,False
34,1801.00,644.00,False
35,1802.00,644.00,False
36,1801.00,644.00,False
37,1801.00,644.00,False
38,1801.00,644.00,False
39,1801.00,644.00,False
40,1802.00,644.00,False
41,1802.00,644.00,False
42,1802.00,643.00,False
43,1802.00,644.00,False
44,1802.00,644.00,False
45,1802.00,644.00,False
46,1802.00,644.00,False
47,1802.00,644.00,False
48,1802.00,644.00,False
49,1802.00,644.00,False
50,1802.00,644.00,False
51,1802.00,644.00,False
52,1801.00,644.00,False
53,1801.00,644.00,False
54,1801.00,644.00,False
55,1801.00,644.00,False
56,1801.00,644.00,False
57,1801.00,644.00,False
58,1801.00,644.00,False
59,1801.00,644.00,False
60,1801.00,644.00,False
61,1801.00,644.00,False
62,1801.00,644.00,False
63,1801.00,644.00,False
64,1801.00,644.00,False
65,1801.00,644.00,False
66,1801.00,643.00,False
67,1800.00,643.00,False
68,1800.00,643.00,False
69,1800.00,643.00,False
70,1799.00,643.00,False
71,1799.00,643.00,False
72,1799.00,643.00,False
73,1799.00,643.00,False
74,1799.00,643.00,False
75,1801.00,643.00,False
76,1795.00,637.00,False
77,1795.00,637.00,False
78,1767.00,613.00,True
79,1742.00,603.00,True
80,1714.00,594.00,True
81,1683.00,579.00,True
82,1658.00,575.00,True
83,1626.00,567.00,True
84,1606.00,552.00,True
85,1582.00,549.00,True
86,1564.00,541.00,True
