frame,x,y,manual
0,1175.00,8.00,True
1,1175.00,8.00,False
2,1176.00,9.00,False
3,1177.00,11.00,False
4,1179.00,13.00,False
5,1180.00,14.00,False
6,1180.00,16.00,False
7,1180.00,18.00,False
8,1182.00,19.00,False
9,1183.00,21.00,False
10,1185.00,23.00,False
11,1186.00,25.00,False
12,1188.00,27.00,False
13,1189.00,29.00,False
14,1191.00,31.00,False
15,1193.00,33.00,False
16,1194.00,35.00,False
17,1196.00,37.00,False
18,1197.00,39.00,False
19,1199.00,41.00,False
20,1201.00,43.00,False
21,1202.00,45.00,False
22,1204.00,47.00,False
23,1205.00,49.00,False
24,1207.00,51.00,False
25,1208.00,53.00,False
26,1210.00,55.00,False
27,1211.00,57.00,False
28,1213.00,59.00,False
29,1214.00,61.00,False
30,1216.00,63.00,False
31,1217.00,65.00,False
32,1218.00,67.00,False
33,1220.00,68.00,False
34,1221.00,70.00,False
35,1222.00,72.00,False
36,1221.00,73.00,False
37,1222.00,75.00,False
38,1222.00,77.00,False
39,1222.00,78.00,False
40,1220.00,79.00,False
41,1220.00,81.00,False
42,1221.00,83.00,False
43,1222.00,85.00,False
44,1224.00,87.00,False
45,1225.00,89.00,False
46,1226.00,91.00,False
47,1227.00,94.00,False
48,1229.00,95.00,False
49,1230.00,97.00,False
50,1231.00,99.00,False
51,1232.00,101.00,False
52,1233.00,103.00,False
53,1234.00,105.00,False
54,1236.00,107.00,False
55,1237.00,109.00,False
56,1238.00,111.00,False
57,1239.00,113.00,False
58,1240.00,114.00,False
59,1241.00,116.00,False
60,1242.00,118.00,False
61,1243.00,120.00,False
62,1244.00,122.00,False
63,1245.00,124.00,False
64,1246.00,126.00,False
65,1247.00,128.00,False
66,1248.00,130.00,False
67,1249.00,131.00,False
68,1250.00,133.00,False
69,1251.00,135.00,False
70,1252.00,137.00,False
71,1252.00,138.00,False
72,1254.00,140.00,False
73,1255.00,142.00,False
74,1255.00,144.00,False
75,1255.00,146.00,False
76,1254.00,147.00,False
77,1253.00,148.00,False
78,1252.00,149.00,False
79,1252.00,151.00,False
80,1253.00,154.00,False
81,1254.00,158.00,False
82,1254.00,166.00,False
83,1252.00,200.00,True
84,1247.00,236.00,True
85,1247.00,274.00,True
86,1246.00,314.00,True
87,1244.00,342.00,True
88,1247.00,343.00,True
89,1250.00,344.00,True
90,1250.00,345.00,True
91,1252.00,347.00,True
92,1253.00,349.00,True
93,1253.00,353.00,True
94,1254.00,353.00,True
95,1255.00,363.00,True
96,1257.00,372.00,True
97,1258.00,405.00,True
98,1262.00,463.00,True
99,1266.00,508.00,True
100,1268.00,515.00,True
101,1270.00,513.00,True
102,1272.00,516.00,True
103,1272.00,516.00,True
104,1275.00,520.00,True
105,1275.00,523.00,True
106,1277.00,525.00,True
107,1277.00,525.00,True
108,1280.00,529.00,True
109,1278.00,530.00,True
110,1278.00,530.00,True
111,1273.00,531.00,True
112,1271.00,532.00,True
113,1261.00,530.00,True
114,1254.00,528.00,True
115,1243.00,528.00,True
116,1238.00,526.00,True
117,1232.00,527.00,True
118,1230.00,527.00,True
119,1234.00,528.00,True
120,1236.00,532.00,True
121,1238.00,533.00,True
122,1238.00,533.00,True
123,1238.00,533.00,True
124,1239.00,534.00,True
125,1244.00,535.00,True
126,1244.00,535.00,True
127,1244.00,537.00,True
128,1248.00,539.00,True
129,1247.00,539.00,True
130,1250.00,543.00,True
131,1251.00,544.00,True
132,1252.00,547.00,True
133,1255.00,548.00,True
134,1256.00,547.00,True
135,1256.00,545.00,True
136,1259.00,532.00,True
137,1260.00,515.00,True
138,1259.00,499.00,True
139,1260.00,484.00,True
140,1260.00,467.00,True
141,1262.00,467.00,True
142,1262.00,467.00,True
143,1268.00,472.00,True
144,1265.00,472.00,True
145,1270.00,478.00,True
146,1270.00,478.00,True
147,1273.00,478.00,True
148,1274.00,481.00,True
149,1275.00,484.00,True
150,1277.00,486.00,True
151,1279.00,489.00,True
152,1281.00,494.00,True
153,1281.00,494.00,True
154,1284.00,497.00,True
155,1288.00,499.00,True
156,1291.00,501.00,True
157,1290.00,502.00,True
158,1294.00,508.00,True
159,1297.00,510.00,True
160,1297.00,512.00,True
161,1302.00,517.00,True
162,1305.00,521.00,True
163,1306.00,526.00,True
164,1309.00,530.00,True
165,1312.00,534.00,True
166,1315.00,538.00,True
167,1319.00,542.00,True
168,1323.00,547.00,True
169,1326.00,551.00,True
170,1331.00,558.00,True
171,1336.00,562.00,True
172,1339.00,567.00,True
173,1344.00,576.00,True
174,1347.00,580.00,True
175,1352.00,585.00,True
176,1356.00,594.00,True
177,1359.00,602.00,True
