frame,x,y,manual
0,631.00,878.00,True
1,631.00,878.00,False
2,631.00,875.00,False
3,632.00,873.00,False
4,632.00,872.00,False
5,632.00,871.00,False
6,633.00,870.00,False
7,633.00,871.00,False
8,634.00,869.00,False
9,634.00,871.00,False
10,634.00,871.00,False
11,635.00,872.00,False
12,636.00,874.00,False
13,637.00,878.00,False
14,637.00,881.00,False
15,639.00,884.00,False
16,641.00,890.00,False
17,643.00,897.00,False
18,645.00,900.00,False
19,647.00,909.00,False
20,650.00,919.00,False
21,652.00,924.00,False
22,654.00,935.00,False
23,655.00,944.00,False
24,657.00,949.00,False
25,660.00,959.00,False
26,660.00,968.00,False
27,662.00,973.00,False
28,664.00,981.00,False
29,665.00,988.00,False
30,666.00,993.00,False
31,667.00,999.00,False
32,668.00,1004.00,False
33,669.00,1006.00,False
34,670.00,1009.00,False
35,671.00,1011.00,False
36,673.00,1012.00,False
37,674.00,1014.00,False
38,675.00,1015.00,False
39,677.00,1016.00,False
40,678.00,1017.00,False
41,676.00,1019.00,False
42,677.00,1019.00,False
43,673.00,1021.00,False
44,668.00,1022.00,False
45,667.00,1024.00,False
46,660.00,1026.00,False
47,655.00,1028.00,False
48,656.00,1029.00,False
49,650.00,1031.00,False
50,644.00,1031.00,False
51,643.00,1031.00,False
52,634.00,1031.00,False
53,627.00,1032.00,False
54,627.00,1032.00,False
55,618.00,1032.00,False
56,611.00,1033.00,False
57,610.00,1034.00,False
58,602.00,1036.00,False
59,595.00,1038.00,False
60,596.00,1039.00,False
61,590.00,1044.00,False
62,585.00,1049.00,False
63,586.00,1052.00,False
64,582.00,1058.00,False
65,579.00,1065.00,False
66,581.00,1069.00,False
67,578.00,1078.00,False
68,578.00,1087.00,False
69,580.00,1093.00,False
70,580.00,1104.00,False
71,579.00,1116.00,False
72,583.00,1122.00,False
73,583.00,1134.00,False
74,583.00,1144.00,False
75,587.00,1149.00,False
76,588.00,1156.00,False
77,588.00,1162.00,False
78,588.00,1165.00,False
79,586.00,1169.00,False
80,584.00,1173.00,False
81,586.00,1174.00,False
82,586.00,1176.00,False
83,587.00,1177.00,False
84,590.00,1178.00,False
85,592.00,1178.00,False
86,596.00,1179.00,False
87,601.00,1179.00,False
88,606.00,1178.00,False
89,612.00,1177.00,False
90,617.00,1177.00,False
91,629.00,1171.00,True
92,636.00,1176.00,True
93,643.00,1176.00,True
94,652.00,1171.00,True
95,655.00,1166.00,True
96,654.00,1157.00,True
97,656.00,1159.00,True
98,662.00,1157.00,True
99,663.00,1150.00,True
100,663.00,1150.00,True
101,666.00,1138.00,True
102,666.00,1138.00,True
103,665.00,1130.00,True
104,665.00,1130.00,True
105,668.00,1123.00,True
106,668.00,1123.00,True
107,673.00,1114.00,True
108,673.00,1109.00,True
109,672.00,1099.00,True
110,670.00,1097.00,True
111,669.00,1094.00,True
112,669.00,1094.00,True
113,665.00,1085.00,True
114,660.00,1085.00,True
115,660.00,1085.00,True
116,658.00,1085.00,True
117,657.00,1082.00,True
118,657.00,1078.00,True
119,657.00,1078.00,True
120,656.00,1070.00,True
121,660.00,1068.00,True
122,660.00,1068.00,True
123,661.00,1051.00,True
124,661.00,1051.00,True
125,670.00,1039.00,True
126,670.00,1037.00,True
127,670.00,1037.00,True
128,674.00,1025.00,True
129,674.00,1022.00,True
130,675.00,1013.00,True
131,679.00,1013.00,True
132,674.00,1008.00,True
133,674.00,1006.00,True
134,677.00,996.00,True
135,673.00,991.00,True
136,676.00,991.00,True
137,673.00,984.00,True
138,673.00,982.00,True
139,665.00,977.00,True
140,661.00,974.00,True
141,658.00,970.00,True
142,647.00,958.00,True
143,645.00,955.00,True
144,637.00,948.00,True
145,629.00,948.00,True
146,624.00,943.00,True
147,619.00,934.00,True
148,610.00,936.00,True
149,601.00,931.00,True
150,592.00,922.00,True
151,588.00,922.00,True
152,583.00,917.00,True
153,575.00,914.00,True
154,564.00,910.00,True
155,558.00,900.00,True
156,554.00,898.00,True
157,546.00,893.00,True
158,539.00,883.00,True
159,534.00,881.00,True
160,529.00,874.00,True
161,525.00,862.00,True
162,525.00,862.00,True
163,524.00,850.00,True
164,523.00,840.00,True
165,526.00,835.00,True
166,525.00,828.00,True
167,526.00,818.00,True
168,529.00,809.00,True
169,528.00,799.00,True
170,528.00,790.00,True
171,528.00,790.00,True
172,531.00,782.00,True
