frame,x,y,manual
0,584.00,833.00,True
1,584.00,833.00,False
2,584.00,830.00,False
3,585.00,829.00,False
4,585.00,826.00,False
5,586.00,825.00,False
6,587.00,824.00,False
7,587.00,824.00,False
8,587.00,824.00,False
9,589.00,824.00,False
10,589.00,825.00,False
11,590.00,826.00,False
12,591.00,827.00,False
13,592.00,829.00,False
14,592.00,833.00,False
15,595.00,836.00,False
16,596.00,841.00,False
17,599.00,847.00,False
18,601.00,850.00,False
19,603.00,858.00,False
20,606.00,867.00,False
21,609.00,872.00,False
22,611.00,881.00,False
23,614.00,890.00,False
24,615.00,895.00,False
25,618.00,904.00,False
26,620.00,912.00,False
27,623.00,917.00,False
28,625.00,925.00,False
29,626.00,932.00,False
30,628.00,935.00,False
31,629.00,941.00,False
32,631.00,946.00,False
33,633.00,948.00,False
34,635.00,951.00,False
35,636.00,953.00,False
36,639.00,954.00,False
37,640.00,956.00,False
38,641.00,957.00,False
39,643.00,958.00,False
40,643.00,959.00,False
41,643.00,961.00,False
42,644.00,962.00,False
43,641.00,964.00,False
44,637.00,966.00,False
45,636.00,967.00,False
46,630.00,970.00,False
47,626.00,972.00,False
48,627.00,973.00,False
49,623.00,974.00,False
50,618.00,975.00,False
51,618.00,975.00,False
52,612.00,975.00,False
53,606.00,976.00,False
54,607.00,976.00,False
55,600.00,976.00,False
56,594.00,977.00,False
57,594.00,978.00,False
58,589.00,980.00,False
59,584.00,982.00,False
60,584.00,984.00,False
61,580.00,988.00,False
62,577.00,993.00,False
63,579.00,996.00,False
64,576.00,1003.00,False
65,574.00,1010.00,False
66,577.00,1014.00,False
67,575.00,1023.00,False
68,574.00,1032.00,False
69,577.00,1038.00,False
70,576.00,1050.00,False
71,575.00,1061.00,False
72,579.00,1067.00,False
73,579.00,1078.00,False
74,579.00,1090.00,False
75,583.00,1094.00,False
76,583.00,1102.00,False
77,582.00,1108.00,False
78,584.00,1111.00,False
79,582.00,1116.00,False
80,581.00,1120.00,False
81,583.00,1122.00,False
82,584.00,1124.00,False
83,586.00,1126.00,False
84,589.00,1127.00,False
85,591.00,1129.00,False
86,596.00,1129.00,False
87,601.00,1129.00,False
88,606.00,1130.00,False
89,612.00,1129.00,False
90,618.00,1129.00,False
91,625.00,1128.00,False
92,633.00,1125.00,False
93,639.00,1125.00,False
94,646.00,1122.00,False
95,649.00,1119.00,False
96,651.00,1118.00,False
97,654.00,1115.00,False
98,656.00,1112.00,False
99,658.00,1110.00,False
100,661.00,1105.00,False
101,662.00,1101.00,False
102,662.00,1099.00,False
103,664.00,1094.00,False
104,666.00,1088.00,False
105,666.00,1085.00,False
106,668.00,1080.00,False
107,668.00,1075.00,False
108,666.00,1072.00,False
109,666.00,1067.00,False
110,665.00,1062.00,False
111,664.00,1060.00,False
112,664.00,1056.00,False
113,662.00,1054.00,False
114,659.00,1052.00,False
115,658.00,1049.00,False
116,656.00,1046.00,False
117,653.00,1046.00,False
118,653.00,1043.00,False
119,654.00,1039.00,False
120,652.00,1037.00,False
121,654.00,1031.00,False
122,656.00,1026.00,False
123,656.00,1024.00,False
124,659.00,1018.00,False
125,662.00,1012.00,False
126,661.00,1010.00,False
127,664.00,1004.00,False
128,667.00,998.00,False
129,666.00,995.00,False
130,669.00,990.00,False
131,670.00,985.00,False
132,668.00,982.00,False
133,670.00,977.00,False
134,670.00,971.00,False
135,668.00,969.00,False
136,668.00,963.00,False
137,666.00,957.00,False
138,662.00,955.00,False
139,659.00,949.00,False
140,655.00,945.00,False
141,650.00,942.00,False
142,645.00,937.00,False
143,639.00,932.00,False
144,634.00,929.00,False
145,627.00,924.00,False
146,618.00,920.00,False
147,612.00,918.00,False
148,604.00,912.00,False
149,597.00,907.00,False
150,591.00,905.00,False
151,583.00,900.00,False
152,574.00,895.00,False
153,568.00,892.00,False
154,561.00,886.00,False
155,554.00,880.00,False
156,548.00,877.00,False
157,541.00,869.00,False
158,534.00,863.00,False
159,529.00,859.00,False
160,523.00,851.00,False
161,522.00,843.00,False
162,521.00,839.00,False
163,521.00,830.00,False
164,520.00,821.00,False
165,520.00,817.00,False
166,520.00,809.00,False
167,521.00,799.00,False
168,521.00,795.00,False
169,522.00,786.00,False
170,523.00,778.00,False
171,524.00,773.00,False
172,524.00,764.00,False
173,525.00,755.00,False
174,526.00,751.00,False
175,526.00,742.00,False
176,526.00,733.00,False
177,526.00,729.00,False
178,525.00,722.00,False
179,526.00,714.00,False
180,527.00,710.00,False
181,527.00,704.00,False
182,526.00,699.00,False
183,527.00,697.00,False
184,524.00,692.00,False
185,522.00,689.00,False
186,522.00,688.00,False
