frame,x,y,manual
0,307.00,766.00,True
1,307.00,766.00,False
2,308.00,763.00,False
3,310.00,763.00,False
4,311.00,760.00,False
5,313.00,760.00,False
6,316.00,759.00,False
7,318.00,758.00,False
8,321.00,758.00,False
9,323.00,758.00,False
10,325.00,758.00,False
11,328.00,758.00,False
12,330.00,759.00,False
13,333.00,760.00,False
14,336.00,762.00,False
15,338.00,764.00,False
16,342.00,767.00,False
17,345.00,771.00,False
18,348.00,774.00,False
19,351.00,779.00,False
20,355.00,785.00,False
21,358.00,788.00,False
22,362.00,794.00,False
23,366.00,800.00,False
24,370.00,803.00,False
25,375.00,808.00,False
26,380.00,815.00,False
27,384.00,817.00,False
28,387.00,820.00,False
29,393.00,825.00,False
30,397.00,827.00,False
31,403.00,830.00,False
32,408.00,833.00,False
33,412.00,834.00,False
34,417.00,836.00,False
35,420.00,837.00,False
36,423.00,837.00,False
37,427.00,840.00,False
38,428.00,840.00,False
39,431.00,841.00,False
40,431.00,842.00,False
41,433.00,843.00,False
42,435.00,843.00,False
43,435.00,843.00,False
44,435.00,845.00,False
45,438.00,846.00,False
46,437.00,846.00,False
47,439.00,847.00,False
48,443.00,847.00,False
49,446.00,847.00,False
50,448.00,847.00,False
51,452.00,847.00,False
52,455.00,847.00,False
53,458.00,846.00,False
54,464.00,847.00,False
55,467.00,845.00,False
56,472.00,845.00,False
57,477.00,845.00,False
58,481.00,846.00,False
59,485.00,847.00,False
60,491.00,849.00,False
61,493.00,851.00,False
62,495.00,854.00,False
63,500.00,856.00,False
64,501.00,861.00,False
65,504.00,866.00,False
66,508.00,869.00,False
67,510.00,875.00,False
68,510.00,882.00,False
69,515.00,885.00,False
70,515.00,894.00,False
71,515.00,903.00,False
72,519.00,906.00,False
73,519.00,915.00,False
74,518.00,923.00,False
75,522.00,927.00,False
76,523.00,933.00,False
77,524.00,938.00,False
78,527.00,940.00,False
79,530.00,944.00,False
80,534.00,947.00,False
81,538.00,949.00,False
82,543.00,951.00,False
83,547.00,953.00,False
84,552.00,954.00,False
85,558.00,956.00,False
86,564.00,957.00,False
87,570.00,958.00,False
88,576.00,960.00,False
89,584.00,961.00,False
90,590.00,961.00,False
91,597.00,961.00,False
92,605.00,960.00,False
93,611.00,960.00,False
94,619.00,960.00,False
95,623.00,959.00,False
96,625.00,959.00,False
97,629.00,957.00,False
98,632.00,955.00,False
99,633.00,954.00,False
100,636.00,953.00,False
101,638.00,950.00,False
102,638.00,948.00,False
103,640.00,945.00,False
104,640.00,942.00,False
105,641.00,940.00,False
106,642.00,937.00,False
107,641.00,933.00,False
