frame,x,y,manual
0,331.00,763.00,True
1,331.00,763.00,False
2,331.00,760.00,False
3,333.00,759.00,False
4,335.00,757.00,False
5,337.00,756.00,False
6,339.00,756.00,False
7,340.00,755.00,False
8,342.00,754.00,False
9,344.00,754.00,False
10,347.00,754.00,False
11,350.00,754.00,False
12,352.00,755.00,False
13,354.00,757.00,False
14,357.00,759.00,False
15,359.00,760.00,False
16,362.00,764.00,False
17,366.00,768.00,False
18,369.00,771.00,False
19,372.00,776.00,False
20,376.00,782.00,False
21,378.00,785.00,False
22,382.00,791.00,False
23,386.00,798.00,False
24,390.00,800.00,False
25,395.00,806.00,False
26,399.00,811.00,False
27,402.00,814.00,False
28,409.00,819.00,False
29,413.00,823.00,False
30,418.00,826.00,False
31,423.00,829.00,False
32,428.00,831.00,False
33,432.00,833.00,False
34,435.00,835.00,False
35,439.00,837.00,False
36,442.00,837.00,False
37,443.00,838.00,False
38,445.00,839.00,False
39,448.00,840.00,False
40,448.00,841.00,False
41,450.00,842.00,False
42,452.00,842.00,False
43,452.00,843.00,False
44,453.00,845.00,False
45,455.00,845.00,False
46,454.00,846.00,False
47,456.00,847.00,False
48,459.00,847.00,False
49,462.00,847.00,False
50,463.00,848.00,False
51,467.00,848.00,False
52,470.00,847.00,False
53,473.00,846.00,False
54,478.00,846.00,False
55,483.00,846.00,False
56,487.00,846.00,False
57,493.00,846.00,False
58,496.00,847.00,False
59,500.00,848.00,False
60,505.00,849.00,False
61,508.00,852.00,False
62,510.00,855.00,False
63,515.00,857.00,False
64,516.00,863.00,False
65,517.00,868.00,False
66,522.00,871.00,False
67,524.00,877.00,False
68,524.00,886.00,False
69,528.00,890.00,False
70,528.00,899.00,False
71,528.00,909.00,False
72,532.00,913.00,False
73,532.00,922.00,False
74,531.00,930.00,False
75,535.00,934.00,False
76,537.00,940.00,False
77,537.00,946.00,False
78,540.00,949.00,False
79,543.00,953.00,False
80,547.00,956.00,False
81,551.00,958.00,False
82,555.00,961.00,False
83,560.00,963.00,False
84,565.00,964.00,False
85,570.00,966.00,False
86,575.00,968.00,False
87,581.00,968.00,False
88,588.00,970.00,False
89,595.00,972.00,False
90,601.00,972.00,False
91,609.00,972.00,False
92,617.00,971.00,False
93,623.00,971.00,False
94,630.00,970.00,False
95,634.00,970.00,False
96,635.00,969.00,False
97,639.00,968.00,False
98,642.00,966.00,False
99,643.00,965.00,False
100,646.00,963.00,False
101,648.00,960.00,False
102,648.00,959.00,False
103,650.00,955.00,False
104,651.00,953.00,False
105,651.00,951.00,False
106,652.00,948.00,False
107,651.00,944.00,False
108,649.00,943.00,False
109,648.00,939.00,False
110,648.00,936.00,False
111,646.00,935.00,False
112,645.00,932.00,False
113,643.00,929.00,False
114,639.00,929.00,False
115,638.00,926.00,False
116,637.00,925.00,False
117,634.00,923.00,False
118,634.00,921.00,False
119,635.00,919.00,False
120,633.00,917.00,False
121,634.00,914.00,False
122,636.00,911.00,False
123,635.00,908.00,False
124,637.00,905.00,False
125,639.00,901.00,False
126,638.00,898.00,False
127,640.00,894.00,False
128,640.00,891.00,False
129,638.00,889.00,False
130,640.00,885.00,False
131,641.00,882.00,False
132,639.00,880.00,False
133,639.00,877.00,False
134,639.00,873.00,False
135,636.00,871.00,False
136,634.00,868.00,False
137,632.00,864.00,False
138,628.00,862.00,False
139,625.00,858.00,False
140,621.00,855.00,False
141,616.00,854.00,False
142,611.00,849.00,False
143,605.00,846.00,False
144,599.00,845.00,False
145,594.00,841.00,False
146,586.00,840.00,False
147,581.00,838.00,False
148,574.00,835.00,False
