frame,x,y,manual
0,523.00,797.00,True
1,523.00,797.00,False
2,523.00,794.00,False
3,524.00,793.00,False
4,525.00,791.00,False
5,525.00,789.00,False
6,528.00,789.00,False
7,528.00,788.00,False
8,528.00,788.00,False
9,529.00,787.00,False
10,530.00,787.00,False
11,530.00,787.00,False
12,532.00,788.00,False
13,533.00,791.00,False
14,534.00,793.00,False
15,536.00,794.00,False
16,537.00,799.00,False
17,541.00,805.00,False
18,544.00,808.00,False
19,545.00,816.00,False
20,548.00,824.00,False
21,551.00,829.00,False
22,554.00,836.00,False
23,556.00,844.00,False
24,559.00,849.00,False
25,562.00,856.00,False
26,561.00,861.00,False
27,565.00,866.00,False
28,568.00,873.00,False
29,570.00,880.00,False
30,573.00,883.00,False
31,575.00,888.00,False
32,577.00,893.00,False
33,579.00,894.00,False
34,583.00,897.00,False
35,585.00,899.00,False
36,588.00,900.00,False
37,589.00,901.00,False
38,589.00,902.00,False
39,592.00,903.00,False
40,592.00,904.00,False
41,592.00,906.00,False
42,593.00,907.00,False
43,590.00,909.00,False
44,587.00,910.00,False
45,586.00,911.00,False
46,583.00,914.00,False
47,580.00,915.00,False
48,582.00,916.00,False
49,577.00,917.00,False
50,574.00,918.00,False
51,576.00,918.00,False
52,572.00,918.00,False
53,568.00,918.00,False
54,571.00,919.00,False
55,563.00,920.00,False
56,560.00,921.00,False
57,563.00,922.00,False
58,558.00,923.00,False
59,555.00,927.00,False
60,557.00,928.00,False
61,555.00,930.00,False
62,553.00,935.00,False
63,556.00,938.00,False
64,556.00,946.00,False
65,555.00,952.00,False
66,557.00,956.00,False
67,557.00,964.00,False
68,556.00,973.00,False
69,559.00,979.00,False
70,559.00,989.00,False
71,559.00,1002.00,False
72,562.00,1007.00,False
73,562.00,1018.00,False
74,562.00,1028.00,False
75,566.00,1033.00,False
76,567.00,1040.00,False
77,567.00,1046.00,False
78,569.00,1048.00,False
79,569.00,1048.00,False
80,569.00,1048.00,False
81,569.00,1048.00,False
82,570.00,1061.00,True
83,570.00,1061.00,True
84,577.00,1080.00,True
85,579.00,1066.00,True
86,585.00,1070.00,True
87,587.00,1073.00,True
88,590.00,1073.00,True
89,604.00,1073.00,True
90,606.00,1068.00,True
91,616.00,1075.00,True
92,622.00,1073.00,True
93,628.00,1070.00,True
94,640.00,1066.00,True
95,641.00,1068.00,True
96,641.00,1068.00,True
97,645.00,1063.00,True
98,648.00,1061.00,True
99,653.00,1056.00,True
100,653.00,1056.00,True
101,653.00,1056.00,True
102,653.00,1056.00,True
103,659.00,1039.00,True
104,659.00,1039.00,True
105,659.00,1039.00,True
106,659.00,1039.00,True
107,660.00,1030.00,True
108,660.00,1030.00,True
109,656.00,1020.00,True
110,656.00,1020.00,True
111,652.00,1022.00,True
112,654.00,1020.00,True
113,653.00,1010.00,True
114,653.00,1010.00,True
115,648.00,998.00,True
