frame,x,y,manual
0,443.00,790.00,True
1,443.00,790.00,False
2,442.00,786.00,False
3,442.00,778.00,False
4,444.00,770.00,False
5,445.00,766.00,False
6,447.00,758.00,False
7,450.00,751.00,False
8,451.00,746.00,False
9,454.00,739.00,False
10,457.00,732.00,False
11,457.00,729.00,False
12,460.00,723.00,False
13,463.00,719.00,False
14,464.00,717.00,False
15,467.00,714.00,False
16,470.00,712.00,False
17,471.00,711.00,False
18,474.00,711.00,False
19,477.00,711.00,False
20,479.00,713.00,False
21,482.00,715.00,False
22,486.00,719.00,False
23,488.00,722.00,False
24,492.00,727.00,False
25,497.00,733.00,False
26,498.00,737.00,False
27,503.00,743.00,False
28,506.00,751.00,False
29,509.00,755.00,False
30,513.00,764.00,False
31,518.00,772.00,False
32,520.00,776.00,False
33,526.00,784.00,False
34,533.00,792.00,False
35,536.00,797.00,False
36,543.00,805.00,False
37,551.00,813.00,False
38,554.00,817.00,False
39,562.00,825.00,False
40,569.00,833.00,False
41,572.00,837.00,False
42,578.00,844.00,False
43,584.00,852.00,False
44,586.00,855.00,False
45,591.00,863.00,False
46,594.00,870.00,False
47,595.00,874.00,False
48,595.00,881.00,False
49,594.00,890.00,False
50,592.00,893.00,False
51,589.00,902.00,False
52,584.00,910.00,False
53,581.00,913.00,False
54,576.00,921.00,False
55,575.00,929.00,False
56,577.00,932.00,False
57,576.00,937.00,False
58,573.00,942.00,False
59,575.00,943.00,False
60,573.00,945.00,False
61,570.00,946.00,False
62,571.00,946.00,False
63,567.00,946.00,False
64,564.00,945.00,False
65,565.00,944.00,False
66,560.00,941.00,False
67,555.00,937.00,False
68,556.00,934.00,False
69,550.00,929.00,False
70,545.00,922.00,False
71,546.00,919.00,False
72,541.00,912.00,False
73,536.00,905.00,False
74,537.00,901.00,False
75,532.00,894.00,False
76,528.00,887.00,False
77,529.00,884.00,False
78,524.00,878.00,False
79,521.00,873.00,False
80,522.00,872.00,False
81,519.00,868.00,False
82,517.00,866.00,False
83,518.00,865.00,False
84,516.00,865.00,False
85,516.00,865.00,False
86,518.00,866.00,False
87,518.00,868.00,False
88,517.00,872.00,False
89,520.00,875.00,False
90,521.00,880.00,False
91,515.00,886.00,False
92,513.00,890.00,False
93,508.00,897.00,False
94,504.00,905.00,False
95,502.00,910.00,False
96,499.00,921.00,False
97,497.00,933.00,False
98,496.00,939.00,False
99,495.00,952.00,False
100,496.00,966.00,False
101,495.00,974.00,False
102,497.00,988.00,False
103,499.00,1005.00,False
104,500.00,1013.00,False
105,503.00,1030.00,False
106,508.00,1047.00,False
107,510.00,1055.00,False
108,515.00,1069.00,False
109,521.00,1083.00,False
110,524.00,1089.00,False
111,532.00,1101.00,False
112,539.00,1110.00,False
113,542.00,1113.00,False
114,549.00,1121.00,False
115,556.00,1126.00,False
116,559.00,1128.00,False
117,566.00,1131.00,False
118,572.00,1131.00,False
119,574.00,1131.00,False
120,579.00,1129.00,False
121,584.00,1127.00,False
122,585.00,1125.00,False
123,589.00,1120.00,False
124,593.00,1114.00,False
125,594.00,1111.00,False
126,596.00,1105.00,False
127,597.00,1097.00,False
128,597.00,1093.00,False
129,597.00,1084.00,False
130,596.00,1075.00,False
131,594.00,1071.00,False
132,593.00,1062.00,False
133,590.00,1052.00,False
134,588.00,1047.00,False
135,585.00,1039.00,False
136,581.00,1030.00,False
137,578.00,1026.00,False
138,574.00,1018.00,False
139,570.00,1010.00,False
140,567.00,1006.00,False
141,563.00,1000.00,False
142,559.00,994.00,False
143,556.00,991.00,False
144,552.00,984.00,False
145,548.00,978.00,False
146,546.00,975.00,False
147,542.00,968.00,False
148,538.00,962.00,False
149,535.00,959.00,False
150,529.00,952.00,False
151,524.00,945.00,False
152,521.00,942.00,False
153,515.00,935.00,False
154,510.00,928.00,False
155,507.00,924.00,False
156,503.00,918.00,False
157,501.00,911.00,False
158,499.00,907.00,False
159,498.00,900.00,False
160,499.00,894.00,False
161,499.00,890.00,False
162,501.00,885.00,False
163,504.00,880.00,False
164,504.00,879.00,False
165,507.00,875.00,False
166,511.00,872.00,False
167,512.00,871.00,False
168,516.00,868.00,False
169,520.00,866.00,False
170,520.00,865.00,False
171,523.00,864.00,False
172,526.00,864.00,False
173,527.00,863.00,False
174,528.00,861.00,False
175,529.00,861.00,False
176,529.00,860.00,False
177,529.00,858.00,False
178,529.00,857.00,False
179,528.00,856.00,False
180,527.00,853.00,False
181,526.00,850.00,False
182,525.00,849.00,False
183,524.00,845.00,False
184,523.00,840.00,False
185,522.00,838.00,False
186,521.00,833.00,False
187,521.00,829.00,False
188,520.00,827.00,False
189,520.00,821.00,False
190,521.00,816.00,False
191,521.00,813.00,False
192,521.00,808.00,False
193,522.00,802.00,False
194,522.00,800.00,False
195,524.00,795.00,False
196,525.00,790.00,False
197,526.00,788.00,False
198,529.00,784.00,False
