frame,x,y,manual
0,450.00,826.00,True
1,450.00,826.00,False
2,449.00,821.00,False
3,449.00,814.00,False
4,451.00,805.00,False
5,452.00,801.00,False
6,455.00,794.00,False
7,458.00,785.00,False
8,459.00,781.00,False
9,462.00,773.00,False
10,465.00,766.00,False
11,465.00,763.00,False
12,468.00,758.00,False
13,471.00,753.00,False
14,473.00,751.00,False
15,475.00,749.00,False
16,480.00,747.00,False
17,481.00,747.00,False
18,484.00,747.00,False
19,487.00,748.00,False
20,489.00,750.00,False
21,493.00,754.00,False
22,497.00,759.00,False
23,499.00,763.00,False
24,504.00,769.00,False
25,509.00,777.00,False
26,511.00,781.00,False
27,516.00,789.00,False
28,520.00,798.00,False
29,522.00,803.00,False
30,527.00,810.00,False
31,532.00,823.00,False
32,534.00,827.00,False
33,542.00,839.00,False
34,549.00,847.00,False
35,553.00,853.00,False
36,561.00,862.00,False
37,569.00,872.00,False
38,573.00,878.00,False
39,582.00,886.00,False
40,590.00,896.00,False
41,594.00,900.00,False
42,601.00,909.00,False
43,609.00,918.00,False
44,611.00,922.00,False
45,616.00,929.00,False
46,620.00,938.00,False
47,620.00,941.00,False
48,622.00,950.00,False
49,622.00,959.00,False
50,620.00,963.00,False
51,617.00,973.00,False
52,614.00,982.00,False
53,612.00,986.00,False
54,606.00,994.00,False
55,606.00,1002.00,False
56,608.00,1005.00,False
57,606.00,1011.00,False
58,603.00,1015.00,False
59,605.00,1016.00,False
60,603.00,1019.00,False
61,600.00,1020.00,False
62,601.00,1019.00,False
63,598.00,1019.00,False
64,594.00,1017.00,False
65,595.00,1015.00,False
66,590.00,1012.00,False
67,585.00,1008.00,False
68,585.00,1005.00,False
69,580.00,1000.00,False
70,574.00,993.00,False
71,574.00,990.00,False
72,569.00,981.00,False
73,564.00,974.00,False
74,564.00,971.00,False
75,559.00,963.00,False
76,555.00,957.00,False
77,555.00,954.00,False
78,551.00,948.00,False
79,547.00,944.00,False
80,548.00,941.00,False
81,545.00,938.00,False
82,542.00,937.00,False
83,543.00,936.00,False
84,541.00,936.00,False
85,539.00,938.00,False
86,541.00,939.00,False
87,540.00,943.00,False
88,539.00,948.00,False
89,541.00,951.00,False
90,541.00,957.00,False
91,534.00,965.00,False
92,531.00,969.00,False
93,525.00,978.00,False
94,520.00,988.00,False
95,517.00,993.00,False
96,514.00,1005.00,False
97,511.00,1018.00,False
98,509.00,1025.00,False
99,508.00,1038.00,False
100,508.00,1055.00,False
101,507.00,1063.00,False
102,508.00,1080.00,False
103,510.00,1098.00,False
104,511.00,1108.00,False
105,515.00,1126.00,False
106,518.00,1144.00,False
107,520.00,1152.00,False
108,525.00,1169.00,False
109,532.00,1182.00,False
110,535.00,1189.00,False
111,542.00,1200.00,False
112,550.00,1211.00,False
113,553.00,1215.00,False
114,560.00,1223.00,False
115,568.00,1229.00,False
116,571.00,1231.00,False
117,578.00,1234.00,False
118,584.00,1235.00,False
119,587.00,1234.00,False
120,592.00,1232.00,False
121,597.00,1230.00,False
122,598.00,1227.00,False
123,603.00,1222.00,False
124,607.00,1215.00,False
125,608.00,1213.00,False
126,610.00,1206.00,False
127,612.00,1197.00,False
128,612.00,1193.00,False
129,612.00,1184.00,False
130,610.00,1175.00,False
131,609.00,1170.00,False
132,606.00,1160.00,False
133,604.00,1150.00,False
134,602.00,1145.00,False
135,598.00,1137.00,False
136,594.00,1128.00,False
137,591.00,1124.00,False
138,587.00,1116.00,False
139,582.00,1109.00,False
140,579.00,1105.00,False
141,574.00,1099.00,False
142,569.00,1093.00,False
143,566.00,1090.00,False
144,562.00,1084.00,False
145,558.00,1077.00,False
146,556.00,1075.00,False
147,552.00,1070.00,False
148,548.00,1063.00,False
149,545.00,1060.00,False
150,540.00,1053.00,False
151,534.00,1047.00,False
152,531.00,1044.00,False
153,524.00,1038.00,False
154,518.00,1030.00,False
155,514.00,1027.00,False
156,511.00,1019.00,False
157,508.00,1012.00,False
158,506.00,1009.00,False
159,505.00,1002.00,False
160,505.00,995.00,False
161,505.00,992.00,False
162,507.00,986.00,False
163,510.00,981.00,False
164,510.00,978.00,False
165,514.00,974.00,False
166,518.00,970.00,False
167,519.00,968.00,False
168,523.00,965.00,False
169,527.00,961.00,False
170,528.00,960.00,False
171,531.00,958.00,False
172,533.00,956.00,False
173,533.00,955.00,False
174,535.00,952.00,False
175,536.00,950.00,False
176,536.00,949.00,False
177,536.00,947.00,False
178,536.00,944.00,False
179,534.00,942.00,False
180,533.00,938.00,False
181,532.00,934.00,False
182,531.00,932.00,False
183,530.00,927.00,False
184,529.00,922.00,False
185,527.00,920.00,False
186,527.00,914.00,False
187,526.00,908.00,False
188,526.00,905.00,False
189,526.00,899.00,False
190,526.00,892.00,False
191,526.00,889.00,False
192,527.00,883.00,False
193,528.00,877.00,False
194,528.00,874.00,False
195,530.00,867.00,False
196,532.00,862.00,False
197,533.00,859.00,False
198,535.00,855.00,False
199,537.00,850.00,False
200,538.00,848.00,False
201,541.00,842.00,False
202,544.00,838.00,False
203,545.00,836.00,False
204,547.00,832.00,False
205,550.00,827.00,False
206,551.00,825.00,False
207,554.00,820.00,False
208,558.00,814.00,False
209,561.00,812.00,False
210,566.00,807.00,False
211,572.00,801.00,False
212,576.00,798.00,False
213,583.00,788.00,False
214,589.00,779.00,False
215,592.00,773.00,False
216,599.00,758.00,False
217,606.00,746.00,False
218,610.00,739.00,False
219,616.00,728.00,False
220,625.00,706.00,True
221,633.00,689.00,True
222,638.00,684.00,True
223,637.00,662.00,True
224,637.00,658.00,True
225,649.00,636.00,True
226,646.00,622.00,True
227,647.00,602.00,True
228,650.00,595.00,True
229,650.00,586.00,True
230,643.00,571.00,True
231,648.00,562.00,True
232,641.00,552.00,True
233,641.00,545.00,True
234,636.00,533.00,True
235,630.00,526.00,True
236,623.00,518.00,True
237,623.00,518.00,True
238,619.00,514.00,True
239,615.00,509.00,True
240,615.00,509.00,True
241,611.00,504.00,True
242,605.00,502.00,True
243,600.00,497.00,True
244,594.00,494.00,True
245,594.00,504.00,True
246,594.00,504.00,True
247,594.00,502.00,True
248,590.00,502.00,True
249,588.00,506.00,True
250,588.00,509.00,True
251,584.00,506.00,True
252,584.00,506.00,True
253,584.00,511.00,True
254,584.00,511.00,True
255,584.00,511.00,True
256,584.00,511.00,True
257,584.00,511.00,True
258,584.00,511.00,True
259,584.00,511.00,True
260,584.00,511.00,True
261,586.00,521.00,True
262,588.00,523.00,True
263,588.00,523.00,True
264,595.00,526.00,True
265,601.00,528.00,True
266,606.00,535.00,True
267,614.00,535.00,True
268,620.00,542.00,True
269,620.00,542.00,True
270,621.00,547.00,True
271,631.00,554.00,True
272,635.00,557.00,True
273,639.00,564.00,True
274,641.00,569.00,True
275,646.00,578.00,True
276,651.00,586.00,True
277,661.00,588.00,True
278,661.00,588.00,True
279,662.00,588.00,True
280,671.00,600.00,True
281,669.00,595.00,True
282,671.00,610.00,True
283,670.00,612.00,True
284,669.00,610.00,True
285,669.00,610.00,True
286,660.00,612.00,True
287,660.00,629.00,True
288,657.00,629.00,True
289,651.00,629.00,True
290,651.00,629.00,True
291,644.00,631.00,True
292,637.00,638.00,True
293,637.00,638.00,True
294,633.00,641.00,True
295,633.00,641.00,True
296,630.00,650.00,True
297,631.00,658.00,True
298,632.00,658.00,True
299,635.00,658.00,True
300,635.00,658.00,True
301,635.00,658.00,True
302,635.00,658.00,True
303,635.00,658.00,True
304,647.00,648.00,True
305,645.00,646.00,True
306,646.00,638.00,True
307,646.00,626.00,True
308,650.00,626.00,True
309,649.00,624.00,True
310,648.00,617.00,True
311,656.00,610.00,True
312,654.00,590.00,True
313,656.00,588.00,True
314,655.00,586.00,True
315,656.00,576.00,True
316,656.00,562.00,True
317,660.00,559.00,True
318,655.00,557.00,True
319,653.00,550.00,True
320,650.00,538.00,True
321,651.00,535.00,True
322,652.00,526.00,True
323,652.00,526.00,True
324,646.00,521.00,True
325,640.00,521.00,True
326,635.00,521.00,True
327,632.00,514.00,True
328,627.00,509.00,True
329,623.00,504.00,True
330,613.00,502.00,True
331,614.00,511.00,True
332,608.00,506.00,True
333,598.00,504.00,True
334,599.00,511.00,True
335,592.00,511.00,True
336,589.00,511.00,True
337,583.00,514.00,True
338,575.00,518.00,True
339,568.00,518.00,True
340,555.00,523.00,True
341,559.00,516.00,True
342,554.00,521.00,True
343,554.00,521.00,True
344,554.00,521.00,True
345,550.00,528.00,True
346,550.00,528.00,True
347,550.00,528.00,True
348,543.00,530.00,True
349,543.00,533.00,True
350,543.00,533.00,True
