frame,x,y,manual
0,434.00,739.00,True
1,434.00,739.00,False
2,433.00,735.00,False
3,433.00,727.00,False
4,435.00,720.00,False
5,435.00,716.00,False
6,438.00,709.00,False
7,441.00,701.00,False
8,441.00,697.00,False
9,444.00,690.00,False
10,446.00,684.00,False
11,447.00,681.00,False
12,449.00,675.00,False
13,451.00,671.00,False
14,451.00,668.00,False
15,454.00,665.00,False
16,457.00,663.00,False
17,458.00,662.00,False
18,461.00,662.00,False
19,463.00,661.00,False
20,465.00,662.00,False
21,467.00,664.00,False
22,470.00,666.00,False
23,471.00,668.00,False
24,475.00,672.00,False
25,478.00,676.00,False
26,480.00,679.00,False
27,483.00,685.00,False
28,487.00,690.00,False
29,488.00,693.00,False
30,493.00,697.00,False
31,498.00,705.00,False
32,499.00,709.00,False
33,504.00,715.00,False
34,509.00,721.00,False
35,511.00,724.00,False
36,517.00,731.00,False
37,523.00,737.00,False
38,526.00,740.00,False
39,531.00,746.00,False
40,536.00,752.00,False
41,538.00,755.00,False
42,542.00,760.00,False
43,545.00,766.00,False
44,546.00,769.00,False
45,548.00,774.00,False
46,548.00,779.00,False
47,548.00,781.00,False
48,547.00,787.00,False
49,544.00,794.00,False
50,541.00,797.00,False
51,537.00,804.00,False
52,532.00,811.00,False
53,528.00,814.00,False
54,520.00,821.00,False
55,518.00,827.00,False
56,520.00,830.00,False
57,518.00,835.00,False
58,515.00,839.00,False
59,516.00,840.00,False
60,513.00,842.00,False
61,510.00,843.00,False
62,511.00,843.00,False
63,508.00,843.00,False
64,505.00,842.00,False
65,505.00,841.00,False
66,501.00,838.00,False
67,497.00,834.00,False
68,498.00,832.00,False
69,494.00,827.00,False
70,490.00,821.00,False
71,490.00,818.00,False
72,486.00,812.00,False
73,482.00,806.00,False
74,483.00,803.00,False
75,479.00,796.00,False
76,476.00,790.00,False
77,477.00,788.00,False
78,474.00,782.00,False
79,472.00,777.00,False
80,475.00,776.00,False
81,473.00,771.00,False
82,472.00,768.00,False
83,475.00,767.00,False
84,475.00,765.00,False
85,476.00,765.00,False
86,480.00,765.00,False
87,480.00,767.00,False
88,482.00,770.00,False
89,487.00,771.00,False
90,490.00,775.00,False
91,487.00,779.00,False
92,484.00,783.00,False
93,481.00,788.00,False
94,479.00,795.00,False
95,478.00,798.00,False
96,477.00,806.00,False
97,476.00,814.00,False
98,476.00,819.00,False
99,477.00,830.00,False
100,477.00,841.00,False
101,478.00,847.00,False
102,478.00,847.00,False
103,482.00,874.00,True
104,481.00,874.00,True
105,478.00,888.00,True
106,488.00,910.00,True
107,489.00,907.00,True
108,488.00,905.00,True
109,499.00,926.00,True
110,501.00,929.00,True
111,509.00,934.00,True
112,514.00,946.00,True
113,517.00,948.00,True
114,521.00,948.00,True
115,529.00,958.00,True
116,530.00,958.00,True
117,535.00,960.00,True
118,541.00,962.00,True
119,547.00,962.00,True
120,548.00,965.00,True
121,555.00,950.00,True
122,557.00,960.00,True
123,557.00,955.00,True
124,558.00,943.00,True
125,559.00,938.00,True
126,563.00,941.00,True
