frame,x,y,manual
0,532.00,965.00,True
1,532.00,965.00,False
2,532.00,961.00,False
3,535.00,954.00,False
4,538.00,946.00,False
5,538.00,942.00,False
6,541.00,933.00,False
7,544.00,923.00,False
8,544.00,918.00,False
9,547.00,908.00,False
10,548.00,897.00,False
11,548.00,892.00,False
12,549.00,881.00,False
13,549.00,870.00,False
14,548.00,865.00,False
15,548.00,854.00,False
16,547.00,844.00,False
17,545.00,839.00,False
18,545.00,829.00,False
19,544.00,819.00,False
20,542.00,814.00,False
21,542.00,806.00,False
22,541.00,798.00,False
23,539.00,794.00,False
24,538.00,789.00,False
25,538.00,785.00,False
26,537.00,782.00,False
27,537.00,779.00,False
28,537.00,776.00,False
29,536.00,775.00,False
30,537.00,773.00,False
31,538.00,772.00,False
32,537.00,771.00,False
33,539.00,769.00,False
34,541.00,766.00,False
35,541.00,765.00,False
36,542.00,762.00,False
37,546.00,759.00,False
38,546.00,756.00,False
39,548.00,753.00,False
40,549.00,749.00,False
41,549.00,747.00,False
42,549.00,742.00,False
43,549.00,736.00,False
44,549.00,733.00,False
45,549.00,727.00,False
46,547.00,721.00,False
47,545.00,718.00,False
48,543.00,711.00,False
49,543.00,705.00,False
50,543.00,702.00,False
51,543.00,697.00,False
52,541.00,692.00,False
53,541.00,689.00,False
54,541.00,686.00,False
55,539.00,682.00,False
56,539.00,681.00,False
57,539.00,680.00,False
58,538.00,679.00,False
59,539.00,679.00,False
60,538.00,681.00,False
61,539.00,683.00,False
62,542.00,685.00,False
63,544.00,689.00,False
64,547.00,694.00,False
65,549.00,697.00,False
66,552.00,701.00,False
67,556.00,706.00,False
68,559.00,709.00,False
69,563.00,713.00,False
70,567.00,716.00,False
71,569.00,717.00,False
72,573.00,720.00,False
73,577.00,720.00,False
74,580.00,721.00,False
75,584.00,721.00,False
76,587.00,720.00,False
77,589.00,719.00,False
78,590.00,717.00,False
79,590.00,714.00,False
80,591.00,714.00,False
81,590.00,711.00,False
82,589.00,709.00,False
83,589.00,707.00,False
84,587.00,705.00,False
85,584.00,704.00,False
86,583.00,704.00,False
87,581.00,703.00,False
88,578.00,703.00,False
89,577.00,703.00,False
90,574.00,703.00,False
91,572.00,703.00,False
92,572.00,702.00,False
93,570.00,702.00,False
94,568.00,700.00,False
95,568.00,699.00,False
96,566.00,697.00,False
97,564.00,695.00,False
98,564.00,693.00,False
99,563.00,692.00,False
100,561.00,690.00,False
101,562.00,689.00,False
102,562.00,687.00,False
103,563.00,686.00,False
104,563.00,685.00,False
105,564.00,682.00,False
106,564.00,681.00,False
107,566.00,680.00,False
108,567.00,678.00,False
109,568.00,676.00,False
110,569.00,675.00,False
111,570.00,672.00,False
112,571.00,670.00,False
113,573.00,668.00,False
114,573.00,666.00,False
115,575.00,663.00,False
116,576.00,661.00,False
117,577.00,657.00,False
118,578.00,654.00,False
119,579.00,652.00,False
120,580.00,647.00,False
121,580.00,643.00,False
122,582.00,641.00,False
123,583.00,636.00,False
124,583.00,631.00,False
125,585.00,628.00,False
126,586.00,623.00,False
127,587.00,617.00,False
128,589.00,614.00,False
129,590.00,608.00,False
130,591.00,603.00,False
131,593.00,600.00,False
132,593.00,595.00,False
133,594.00,589.00,False
134,596.00,587.00,False
135,596.00,583.00,False
136,597.00,580.00,False
137,598.00,578.00,False
138,599.00,576.00,False
139,600.00,575.00,False
140,601.00,575.00,False
141,602.00,576.00,False
142,604.00,577.00,False
143,605.00,579.00,False
144,607.00,583.00,False
145,609.00,587.00,False
146,611.00,590.00,False
147,613.00,596.00,False
148,615.00,602.00,False
149,617.00,604.00,False
150,619.00,611.00,False
151,621.00,618.00,False
152,622.00,622.00,False
153,623.00,629.00,False
154,624.00,637.00,False
155,625.00,641.00,False
156,625.00,650.00,False
157,625.00,658.00,False
158,626.00,663.00,False
159,626.00,671.00,False
160,626.00,679.00,False
161,626.00,683.00,False
162,627.00,691.00,False
163,627.00,699.00,False
164,628.00,702.00,False
165,628.00,709.00,False
166,629.00,717.00,False
167,630.00,720.00,False
168,632.00,727.00,False
169,634.00,735.00,False
170,636.00,738.00,False
171,638.00,745.00,False
172,641.00,751.00,False
173,643.00,754.00,False
174,647.00,760.00,False
175,644.00,766.00,False
176,641.00,769.00,False
177,639.00,774.00,False
178,638.00,778.00,False
179,635.00,781.00,False
180,632.00,784.00,False
181,633.00,788.00,False
182,631.00,790.00,False
183,630.00,793.00,False
184,629.00,795.00,False
185,626.00,796.00,False
186,625.00,798.00,False
187,623.00,799.00,False
188,622.00,800.00,False
189,620.00,801.00,False
190,617.00,802.00,False
191,616.00,802.00,False
192,613.00,802.00,False
193,610.00,802.00,False
194,608.00,802.00,False
195,604.00,802.00,False
196,601.00,802.00,False
197,599.00,801.00,False
198,595.00,800.00,False
199,591.00,798.00,False
200,589.00,797.00,False
201,585.00,795.00,False
202,582.00,792.00,False
203,580.00,791.00,False
204,577.00,788.00,False
205,575.00,785.00,False
206,573.00,784.00,False
207,571.00,781.00,False
208,569.00,776.00,False
209,567.00,775.00,False
210,566.00,770.00,False
211,565.00,766.00,False
212,564.00,764.00,False
213,562.00,759.00,False
214,561.00,756.00,False
215,560.00,754.00,False
216,559.00,750.00,False
217,558.00,747.00,False
218,557.00,745.00,False
219,556.00,743.00,False
220,555.00,741.00,False
221,554.00,741.00,False
222,554.00,740.00,False
223,554.00,739.00,False
224,553.00,739.00,False
225,553.00,739.00,False
226,552.00,740.00,False
227,552.00,740.00,False
228,551.00,741.00,False
229,551.00,744.00,False
230,550.00,745.00,False
231,550.00,749.00,False
232,550.00,752.00,False
233,548.00,755.00,False
234,548.00,759.00,False
235,548.00,764.00,False
236,547.00,766.00,False
237,546.00,770.00,False
238,544.00,774.00,False
239,543.00,776.00,False
240,541.00,779.00,False
241,541.00,783.00,False
242,539.00,785.00,False
243,539.00,789.00,False
244,538.00,793.00,False
245,537.00,796.00,False
246,535.00,799.00,False
247,535.00,804.00,False
248,533.00,807.00,False
249,531.00,811.00,False
250,530.00,815.00,False
251,528.00,818.00,False
252,526.00,821.00,False
253,523.00,825.00,False
254,522.00,826.00,False
255,519.00,830.00,False
256,516.00,834.00,False
257,514.00,835.00,False
258,511.00,838.00,False
259,511.00,840.00,False
260,511.00,841.00,False
261,509.00,843.00,False
262,508.00,845.00,False
263,508.00,846.00,False
264,507.00,847.00,False
265,505.00,847.00,False
266,505.00,847.00,False
267,504.00,847.00,False
268,503.00,846.00,False
269,503.00,845.00,False
270,502.00,843.00,False
271,502.00,840.00,False
272,503.00,838.00,False
273,503.00,835.00,False
274,503.00,831.00,False
275,504.00,829.00,False
276,503.00,823.00,False
277,504.00,818.00,False
278,506.00,815.00,False
279,506.00,809.00,False
280,508.00,804.00,False
281,509.00,800.00,False
282,511.00,794.00,False
283,514.00,788.00,False
284,516.00,784.00,False
285,519.00,777.00,False
286,521.00,769.00,False
287,524.00,766.00,False
288,527.00,760.00,False
289,530.00,753.00,False
290,532.00,750.00,False
291,535.00,744.00,False
292,536.00,740.00,False
293,539.00,738.00,False
294,541.00,733.00,False
295,544.00,729.00,False
296,547.00,727.00,False
297,550.00,723.00,False
298,553.00,719.00,False
299,557.00,718.00,False
300,560.00,716.00,False
301,564.00,714.00,False
302,567.00,714.00,False
303,571.00,714.00,False
304,575.00,714.00,False
305,578.00,714.00,False
306,582.00,716.00,False
307,587.00,717.00,False
308,590.00,718.00,False
309,594.00,721.00,False
310,600.00,723.00,False
311,604.00,724.00,False
312,609.00,727.00,False
313,611.00,731.00,False
314,614.00,733.00,False
315,618.00,738.00,False
316,621.00,742.00,False
317,624.00,745.00,False
318,629.00,749.00,False
319,632.00,754.00,False
320,635.00,756.00,False
321,638.00,760.00,False
322,641.00,763.00,False
323,643.00,765.00,False
324,647.00,767.00,False
325,652.00,768.00,False
326,656.00,769.00,False
327,661.00,769.00,False
328,665.00,768.00,False
329,670.00,768.00,False
330,674.00,767.00,False
331,675.00,764.00,False
332,677.00,764.00,False
333,678.00,761.00,False
334,680.00,758.00,False
335,681.00,756.00,False
336,682.00,752.00,False
337,680.00,749.00,False
338,680.00,748.00,False
339,679.00,745.00,False
340,677.00,742.00,False
341,677.00,740.00,False
342,675.00,737.00,False
343,672.00,734.00,False
344,671.00,733.00,False
345,668.00,729.00,False
346,666.00,726.00,False
347,665.00,725.00,False
348,663.00,721.00,False
349,659.00,719.00,False
350,657.00,717.00,False
351,654.00,714.00,False
352,651.00,712.00,False
353,649.00,712.00,False
354,648.00,710.00,False
355,645.00,710.00,False
356,642.00,710.00,False
357,639.00,710.00,False
358,636.00,712.00,False
359,634.00,712.00,False
360,631.00,713.00,False
361,633.00,715.00,False
362,635.00,716.00,False
363,637.00,718.00,False
364,640.00,719.00,False
365,642.00,720.00,False
366,645.00,722.00,False
367,649.00,723.00,False
368,651.00,724.00,False
369,655.00,726.00,False
370,659.00,727.00,False
371,662.00,728.00,False
372,665.00,730.00,False
373,669.00,732.00,False
374,672.00,732.00,False
375,677.00,733.00,False
376,681.00,735.00,False
377,683.00,735.00,False
378,688.00,736.00,False
379,692.00,736.00,False
380,695.00,736.00,False
381,698.00,736.00,False
382,701.00,735.00,False
383,704.00,734.00,False
384,707.00,733.00,False
385,710.00,732.00,False
386,712.00,731.00,False
387,715.00,729.00,False
388,718.00,726.00,False
389,720.00,724.00,False
390,722.00,721.00,False
391,723.00,717.00,False
392,724.00,715.00,False
393,725.00,711.00,False
394,725.00,706.00,False
395,725.00,703.00,False
396,725.00,697.00,False
397,725.00,692.00,False
398,725.00,690.00,False
399,723.00,684.00,False
400,722.00,678.00,False
401,722.00,675.00,False
402,720.00,669.00,False
403,717.00,662.00,False
404,715.00,658.00,False
405,712.00,652.00,False
406,708.00,645.00,False
