frame,x,y,manual
0,533.00,1058.00,True
1,533.00,1058.00,False
2,533.00,1055.00,False
3,537.00,1047.00,False
4,541.00,1039.00,False
5,541.00,1034.00,False
6,545.00,1025.00,False
7,549.00,1014.00,False
8,550.00,1008.00,False
9,553.00,997.00,False
10,556.00,986.00,False
11,556.00,980.00,False
12,557.00,969.00,False
13,558.00,958.00,False
14,558.00,951.00,False
15,558.00,940.00,False
16,558.00,928.00,False
17,557.00,922.00,False
18,557.00,910.00,False
19,557.00,899.00,False
20,555.00,894.00,False
21,555.00,884.00,False
22,554.00,875.00,False
23,553.00,872.00,False
24,553.00,865.00,False
25,553.00,860.00,False
26,552.00,857.00,False
27,552.00,854.00,False
28,553.00,851.00,False
29,553.00,849.00,False
30,553.00,848.00,False
31,556.00,846.00,False
32,556.00,845.00,False
33,558.00,844.00,False
34,561.00,841.00,False
35,562.00,840.00,False
36,565.00,836.00,False
37,568.00,833.00,False
38,568.00,832.00,False
39,571.00,828.00,False
40,574.00,824.00,False
41,574.00,822.00,False
42,576.00,817.00,False
43,577.00,811.00,False
44,576.00,808.00,False
45,576.00,802.00,False
46,575.00,795.00,False
47,573.00,792.00,False
48,571.00,784.00,False
49,570.00,777.00,False
50,570.00,774.00,False
51,569.00,769.00,False
52,568.00,763.00,False
53,568.00,760.00,False
54,566.00,756.00,False
55,564.00,752.00,False
56,564.00,752.00,False
57,562.00,751.00,False
58,562.00,752.00,False
59,562.00,752.00,False
60,562.00,753.00,False
61,564.00,756.00,False
62,565.00,759.00,False
63,567.00,764.00,False
64,570.00,769.00,False
65,573.00,772.00,False
66,576.00,778.00,False
67,580.00,782.00,False
68,583.00,785.00,False
69,587.00,790.00,False
70,591.00,793.00,False
71,594.00,795.00,False
72,599.00,798.00,False
73,603.00,797.00,False
74,606.00,798.00,False
75,609.00,799.00,False
76,612.00,798.00,False
77,614.00,796.00,False
78,615.00,792.00,False
79,615.00,789.00,False
80,615.00,787.00,False
81,613.00,784.00,False
82,611.00,779.00,False
83,611.00,778.00,False
84,607.00,774.00,False
85,604.00,772.00,False
86,603.00,771.00,False
87,599.00,771.00,False
88,596.00,770.00,False
89,595.00,770.00,False
90,591.00,770.00,False
91,588.00,769.00,False
92,587.00,769.00,False
93,584.00,767.00,False
94,581.00,765.00,False
95,580.00,764.00,False
96,578.00,760.00,False
97,575.00,756.00,False
98,575.00,755.00,False
99,573.00,751.00,False
100,571.00,749.00,False
101,571.00,747.00,False
102,571.00,743.00,False
103,571.00,740.00,False
104,571.00,738.00,False
105,571.00,737.00,False
106,572.00,734.00,False
107,572.00,733.00,False
108,573.00,730.00,False
109,574.00,727.00,False
110,576.00,725.00,False
111,576.00,721.00,False
112,577.00,718.00,False
113,578.00,716.00,False
114,579.00,713.00,False
115,580.00,710.00,False
116,581.00,707.00,False
117,582.00,703.00,False
118,583.00,698.00,False
119,584.00,695.00,False
120,585.00,691.00,False
121,585.00,685.00,False
122,586.00,683.00,False
123,587.00,677.00,False
124,588.00,672.00,False
125,589.00,669.00,False
126,591.00,662.00,False
127,592.00,656.00,False
128,594.00,653.00,False
129,595.00,646.00,False
130,596.00,640.00,False
131,597.00,636.00,False
132,598.00,630.00,False
133,600.00,625.00,False
134,600.00,622.00,False
135,601.00,617.00,False
136,601.00,613.00,False
137,603.00,611.00,False
138,604.00,609.00,False
139,605.00,607.00,False
140,606.00,608.00,False
141,608.00,608.00,False
142,609.00,611.00,False
143,610.00,612.00,False
144,613.00,616.00,False
145,615.00,621.00,False
146,617.00,623.00,False
147,619.00,630.00,False
148,621.00,636.00,False
149,623.00,640.00,False
150,625.00,648.00,False
151,627.00,655.00,False
152,629.00,659.00,False
153,630.00,667.00,False
154,630.00,667.00,False
155,631.00,679.00,True
156,634.00,684.00,True
157,637.00,698.00,True
158,636.00,708.00,True
159,635.00,715.00,True
160,635.00,715.00,True
161,634.00,725.00,True
162,635.00,730.00,True
163,636.00,739.00,True
164,636.00,746.00,True
165,636.00,746.00,True
166,636.00,756.00,True
167,638.00,770.00,True
168,639.00,775.00,True
169,640.00,778.00,True
170,644.00,790.00,True
171,644.00,790.00,True
172,644.00,790.00,True
173,646.00,799.00,True
174,648.00,814.00,True
175,650.00,814.00,True
176,650.00,814.00,True
177,643.00,826.00,True
178,639.00,835.00,True
179,639.00,835.00,True
180,639.00,835.00,True
181,634.00,842.00,True
182,634.00,842.00,True
183,634.00,842.00,True
184,630.00,847.00,True
185,630.00,857.00,True
186,630.00,857.00,True
187,626.00,854.00,True
188,626.00,854.00,True
189,626.00,854.00,True
190,618.00,854.00,True
191,618.00,854.00,True
192,613.00,857.00,True
193,615.00,857.00,True
194,609.00,854.00,True
195,611.00,857.00,True
196,603.00,864.00,True
197,595.00,859.00,True
198,597.00,862.00,True
199,597.00,862.00,True
200,595.00,857.00,True
201,591.00,864.00,True
202,587.00,859.00,True
203,581.00,850.00,True
204,581.00,850.00,True
205,577.00,847.00,True
206,577.00,847.00,True
207,572.00,845.00,True
208,571.00,838.00,True
209,569.00,838.00,True
210,571.00,833.00,True
211,571.00,833.00,True
212,565.00,823.00,True
213,565.00,823.00,True
214,565.00,823.00,True
215,565.00,823.00,True
216,560.00,814.00,True
217,562.00,814.00,True
218,562.00,814.00,True
219,562.00,814.00,True
220,558.00,806.00,True
221,558.00,806.00,True
222,558.00,806.00,True
223,558.00,806.00,True
224,558.00,806.00,True
225,558.00,806.00,True
226,558.00,806.00,True
227,558.00,806.00,True
228,558.00,806.00,True
229,558.00,806.00,True
230,558.00,806.00,True
231,557.00,816.00,True
232,557.00,816.00,True
233,557.00,830.00,True
234,557.00,830.00,True
235,560.00,835.00,True
236,560.00,835.00,True
237,560.00,835.00,True
238,563.00,852.00,True
239,562.00,850.00,True
240,562.00,850.00,True
241,561.00,852.00,True
242,561.00,857.00,True
243,561.00,857.00,True
244,561.00,857.00,True
245,561.00,866.00,True
246,561.00,866.00,True
247,560.00,881.00,True
248,560.00,881.00,True
249,561.00,881.00,True
250,561.00,888.00,True
251,561.00,888.00,True
252,561.00,888.00,True
