frame,x,y,manual
0,447.00,785.00,True
1,447.00,785.00,False
2,447.00,785.00,False
3,447.00,785.00,False
4,447.00,785.00,False
5,447.00,785.00,False
6,447.00,785.00,False
7,447.00,785.00,False
8,447.00,785.00,False
9,447.00,785.00,False
10,447.00,785.00,False
11,447.00,785.00,False
12,447.00,785.00,False
13,447.00,785.00,False
14,447.00,785.00,False
15,447.00,785.00,False
16,447.00,785.00,False
17,447.00,785.00,False
18,447.00,785.00,False
19,447.00,785.00,False
20,447.00,785.00,False
21,447.00,785.00,False
22,447.00,785.00,False
23,447.00,785.00,False
24,447.00,785.00,False
25,447.00,785.00,False
26,447.00,785.00,False
27,447.00,785.00,False
28,447.00,785.00,False
29,447.00,785.00,False
30,447.00,785.00,False
31,447.00,785.00,False
32,447.00,785.00,False
33,447.00,785.00,False
34,447.00,785.00,False
35,447.00,785.00,False
36,447.00,785.00,False
37,447.00,785.00,False
38,447.00,785.00,False
39,447.00,785.00,False
40,447.00,785.00,False
41,447.00,785.00,False
42,447.00,785.00,False
43,447.00,785.00,False
44,447.00,785.00,False
45,447.00,785.00,False
46,447.00,785.00,False
47,447.00,785.00,False
48,447.00,785.00,False
49,447.00,785.00,False
50,447.00,776.00,False
51,448.00,768.00,False
52,449.00,760.00,False
53,450.00,753.00,False
54,450.00,746.00,False
55,450.00,746.00,False
56,450.00,739.00,False
57,450.00,739.00,False
58,450.00,732.00,False
59,449.00,726.00,False
60,448.00,719.00,False
61,447.00,713.00,False
62,445.00,707.00,False
63,443.00,702.00,False
64,441.00,696.00,False
65,438.00,691.00,False
66,436.00,687.00,False
67,436.00,687.00,False
68,433.00,683.00,False
69,431.00,678.00,False
70,428.00,675.00,False
71,426.00,671.00,False
72,423.00,668.00,False
73,420.00,666.00,False
74,418.00,664.00,False
75,413.00,660.00,False
76,411.00,657.00,False
77,411.00,657.00,False
78,409.00,655.00,False
79,407.00,652.00,False
80,404.00,649.00,False
81,402.00,645.00,False
82,400.00,641.00,False
83,397.00,637.00,False
84,395.00,632.00,False
85,392.00,627.00,False
86,390.00,621.00,False
87,387.00,616.00,False
88,383.00,609.00,False
89,381.00,603.00,False
90,377.00,595.00,False
91,374.00,586.00,False
92,370.00,575.00,False
93,366.00,565.00,False
94,362.00,551.00,False
95,358.00,536.00,False
96,354.00,519.00,False
97,349.00,501.00,False
98,345.00,482.00,False
99,341.00,461.00,False
100,337.00,440.00,False
101,332.00,416.00,False
102,327.00,393.00,False
103,322.00,368.00,False
104,316.00,344.00,False
105,311.00,321.00,False
106,305.00,297.00,False
107,299.00,274.00,False
108,293.00,253.00,False
109,287.00,234.00,False
110,281.00,215.00,False
111,275.00,199.00,False
112,270.00,184.00,False
113,264.00,171.00,False
114,259.00,160.00,False
115,254.00,152.00,False
116,249.00,146.00,False
117,245.00,143.00,False
118,241.00,143.00,False
119,236.00,145.00,False
120,233.00,150.00,False
121,230.00,157.00,False
122,227.00,166.00,False
123,225.00,177.00,False
124,225.00,196.00,True
125,226.00,218.00,True
126,220.00,224.00,False
127,222.00,246.00,True
128,223.00,267.00,True
129,223.00,292.00,True
130,222.00,310.00,True
131,222.00,336.00,True
132,224.00,356.00,True
133,225.00,378.00,True
134,224.00,402.00,True
135,226.00,424.00,True
136,229.00,447.00,True
137,231.00,464.00,True
138,234.00,489.00,True
139,235.00,510.00,True
140,240.00,530.00,True
141,246.00,542.00,True
142,250.00,564.00,True
143,256.00,580.00,True
144,262.00,592.00,True
145,267.00,611.00,True
146,275.00,621.00,True
147,279.00,636.00,True
148,288.00,641.00,True
149,295.00,656.00,True
150,301.00,660.00,True
151,303.00,667.00,True
152,314.00,682.00,True
153,317.00,695.00,True
154,324.00,695.00,True
155,329.00,704.00,True
156,337.00,712.00,True
157,340.00,721.00,True
158,344.00,721.00,True
159,347.00,727.00,True
160,350.00,729.00,True
161,356.00,734.00,True
162,360.00,737.00,True
163,362.00,737.00,True
164,365.00,744.00,True
165,368.00,748.00,True
166,369.00,746.00,True
167,369.00,749.00,True
168,373.00,751.00,True
169,374.00,751.00,True
170,377.00,754.00,True
171,377.00,754.00,True
172,378.00,756.00,True
173,380.00,754.00,True
174,380.00,754.00,True
175,381.00,749.00,True
176,379.00,744.00,True
177,379.00,744.00,True
178,382.00,737.00,True
179,382.00,732.00,True
180,380.00,729.00,True
181,380.00,724.00,True
182,380.00,721.00,True
183,380.00,716.00,True
184,379.00,710.00,True
185,378.00,707.00,True
186,377.00,704.00,True
187,377.00,695.00,True
188,375.00,692.00,True
189,375.00,690.00,True
190,375.00,687.00,True
191,372.00,680.00,True
192,371.00,675.00,True
193,371.00,675.00,True
194,368.00,670.00,True
195,368.00,670.00,True
196,366.00,663.00,True
197,363.00,662.00,True
198,361.00,662.00,True
199,361.00,655.00,True
200,359.00,655.00,True
201,358.00,655.00,True
202,355.00,655.00,True
203,353.00,656.00,True
204,351.00,656.00,True
205,349.00,656.00,True
206,349.00,656.00,True
207,347.00,655.00,True
208,347.00,655.00,True
209,345.00,660.00,True
210,345.00,658.00,True
211,346.00,660.00,True
212,345.00,662.00,True
213,345.00,662.00,True
214,344.00,662.00,True
215,344.00,662.00,True
216,347.00,662.00,True
217,347.00,667.00,True
218,347.00,667.00,True
219,350.00,667.00,True
220,354.00,668.00,True
221,355.00,668.00,True
222,355.00,667.00,True
223,357.00,670.00,True
224,357.00,670.00,True
225,362.00,670.00,True
226,362.00,667.00,True
227,366.00,663.00,True
228,368.00,667.00,True
229,369.00,663.00,True
230,369.00,663.00,True
231,369.00,663.00,True
232,373.00,662.00,True
233,375.00,660.00,True
234,377.00,658.00,True
235,377.00,650.00,True
236,377.00,650.00,True
237,377.00,650.00,True
238,377.00,650.00,True
239,377.00,650.00,True
240,377.00,645.00,True
241,377.00,645.00,True
242,374.00,645.00,True
243,373.00,648.00,True
244,373.00,648.00,True
245,373.00,648.00,True
246,373.00,656.00,True
247,373.00,656.00,True
248,372.00,656.00,True
249,370.00,663.00,True
250,370.00,663.00,True
251,370.00,670.00,True
252,370.00,675.00,True
253,370.00,677.00,True
254,370.00,677.00,True
255,371.00,682.00,True
256,371.00,683.00,True
257,371.00,687.00,True
258,369.00,694.00,True
259,369.00,694.00,True
260,369.00,694.00,True
261,369.00,692.00,True
262,369.00,692.00,True
263,370.00,688.00,True
264,370.00,688.00,True
265,370.00,694.00,True
266,370.00,694.00,True
267,372.00,694.00,True
268,373.00,688.00,True
269,373.00,688.00,True
270,375.00,688.00,True
271,377.00,688.00,True
272,377.00,688.00,True
273,377.00,688.00,True
274,379.00,688.00,True
275,379.00,688.00,True
276,383.00,692.00,True
277,383.00,692.00,True
278,388.00,699.00,True
279,388.00,699.00,True
280,391.00,702.00,True
281,391.00,704.00,True
282,395.00,705.00,True
283,395.00,710.00,True
284,399.00,716.00,True
285,399.00,716.00,True
286,400.00,722.00,True
287,400.00,722.00,True
288,400.00,722.00,True
289,402.00,729.00,True
290,404.00,729.00,True
291,404.00,736.00,True
292,404.00,736.00,True
293,404.00,736.00,True
294,408.00,739.00,True
295,406.00,746.00,True
296,409.00,748.00,True
297,409.00,748.00,True
298,409.00,748.00,True
299,409.00,748.00,True
300,409.00,748.00,True
301,409.00,748.00,True
302,409.00,748.00,True
303,409.00,748.00,True
304,410.00,748.00,True
305,417.00,749.00,True
306,420.00,749.00,True
307,422.00,749.00,True
308,422.00,749.00,True
309,422.00,749.00,True
310,425.00,741.00,True
311,425.00,741.00,True
312,426.00,741.00,True
313,430.00,744.00,True
314,430.00,744.00,True
315,434.00,742.00,True
316,435.00,741.00,True
317,435.00,741.00,True
318,435.00,737.00,True
319,435.00,737.00,True
320,436.00,736.00,True
321,436.00,736.00,True
322,435.00,737.00,True
323,435.00,736.00,True
324,435.00,731.00,True
325,436.00,729.00,True
326,436.00,731.00,True
327,436.00,731.00,True
328,434.00,729.00,True
329,434.00,731.00,True
330,431.00,727.00,True
331,431.00,727.00,True
332,430.00,727.00,True
333,427.00,726.00,True
334,427.00,726.00,True
335,426.00,726.00,True
336,425.00,726.00,True
337,425.00,722.00,True
338,422.00,722.00,True
339,422.00,722.00,True
340,422.00,722.00,True
341,421.00,717.00,True
342,421.00,717.00,True
343,421.00,719.00,True
344,421.00,719.00,True
345,419.00,714.00,True
346,419.00,714.00,True
347,419.00,714.00,True
348,418.00,712.00,True
349,418.00,712.00,True
350,420.00,712.00,True
351,420.00,712.00,True
352,420.00,710.00,True
353,419.00,712.00,True
354,419.00,712.00,True
355,421.00,714.00,True
356,421.00,714.00,True
357,420.00,716.00,True
358,422.00,717.00,True
