frame,x,y,manual
0,461.00,844.00,True
1,461.00,844.00,False
2,463.00,850.00,False
3,469.00,860.00,False
4,472.00,865.00,False
5,473.00,870.00,False
6,477.00,873.00,False
7,480.00,877.00,False
8,482.00,880.00,False
9,484.00,882.00,False
10,487.00,882.00,False
11,488.00,883.00,False
12,490.00,883.00,False
13,492.00,882.00,False
14,493.00,882.00,False
15,494.00,881.00,False
16,496.00,880.00,False
17,497.00,879.00,False
18,497.00,878.00,False
19,498.00,876.00,False
20,499.00,874.00,False
21,499.00,873.00,False
22,500.00,872.00,False
23,500.00,871.00,False
24,500.00,871.00,False
25,500.00,870.00,False
26,500.00,870.00,False
27,500.00,870.00,False
28,500.00,870.00,False
29,499.00,870.00,False
30,498.00,871.00,False
31,498.00,871.00,False
32,498.00,872.00,False
33,497.00,872.00,False
34,496.00,872.00,False
35,495.00,873.00,False
36,494.00,874.00,False
37,494.00,875.00,False
38,493.00,876.00,False
39,492.00,878.00,False
40,491.00,880.00,False
41,490.00,883.00,False
42,489.00,886.00,False
43,488.00,889.00,False
44,488.00,893.00,False
45,487.00,897.00,False
46,485.00,901.00,False
47,483.00,906.00,False
48,483.00,911.00,False
49,481.00,915.00,False
50,480.00,921.00,False
51,480.00,935.00,True
52,480.00,935.00,True
53,479.00,945.00,True
54,478.00,950.00,True
55,478.00,953.00,True
56,476.00,953.00,True
57,474.00,957.00,True
58,472.00,957.00,True
59,467.00,958.00,True
60,463.00,962.00,True
61,458.00,964.00,True
62,458.00,964.00,True
63,455.00,960.00,True
64,452.00,958.00,True
65,445.00,958.00,True
66,446.00,957.00,True
67,442.00,953.00,True
68,441.00,953.00,True
69,439.00,953.00,True
70,436.00,953.00,True
71,436.00,953.00,True
72,432.00,953.00,True
73,430.00,955.00,True
74,423.00,955.00,True
75,421.00,957.00,True
76,424.00,957.00,True
77,422.00,957.00,True
78,415.00,955.00,True
79,414.00,955.00,True
80,411.00,955.00,True
81,408.00,948.00,True
82,402.00,948.00,True
83,402.00,942.00,True
84,398.00,942.00,True
85,394.00,935.00,True
86,388.00,926.00,True
87,392.00,923.00,True
88,390.00,916.00,True
89,388.00,908.00,True
90,381.00,908.00,True
91,380.00,898.00,True
92,376.00,898.00,True
93,373.00,889.00,True
94,373.00,886.00,True
95,372.00,879.00,True
96,367.00,874.00,True
97,362.00,874.00,True
98,362.00,874.00,True
99,358.00,872.00,True
100,355.00,871.00,True
101,351.00,871.00,True
102,348.00,871.00,True
103,348.00,871.00,True
104,351.00,867.00,True
105,347.00,867.00,True
106,347.00,867.00,True
107,343.00,867.00,True
108,340.00,862.00,True
109,336.00,862.00,True
110,330.00,859.00,True
111,335.00,852.00,True
112,336.00,850.00,True
113,334.00,845.00,True
114,336.00,847.00,True
115,332.00,844.00,True
116,328.00,839.00,True
117,328.00,840.00,True
118,326.00,839.00,True
119,327.00,837.00,True
120,327.00,834.00,True
121,329.00,834.00,True
122,332.00,839.00,True
123,332.00,839.00,True
124,336.00,842.00,True
125,336.00,849.00,True
126,343.00,854.00,True
127,337.00,856.00,True
128,349.00,864.00,True
129,345.00,866.00,True
130,355.00,872.00,True
131,353.00,879.00,True
132,357.00,886.00,True
133,358.00,884.00,True
134,365.00,903.00,True
135,368.00,910.00,True
136,372.00,913.00,True
137,377.00,925.00,True
138,380.00,930.00,True
139,387.00,937.00,True
140,385.00,943.00,True
141,392.00,945.00,True
142,393.00,950.00,True
143,395.00,955.00,True
144,404.00,958.00,True
145,401.00,962.00,True
146,405.00,964.00,True
147,408.00,964.00,True
148,413.00,972.00,True
149,415.00,975.00,True
150,415.00,975.00,True
151,421.00,977.00,True
152,421.00,977.00,True
153,429.00,987.00,True
154,433.00,994.00,True
155,433.00,994.00,True
156,433.00,994.00,True
157,433.00,994.00,True
158,437.00,1002.00,True
159,440.00,1007.00,True
160,440.00,1007.00,True
161,448.00,1012.00,True
162,449.00,1014.00,True
163,450.00,1014.00,True
164,452.00,1014.00,True
165,457.00,1018.00,True
166,457.00,1019.00,True
167,455.00,1018.00,True
168,461.00,1021.00,True
169,461.00,1021.00,True
170,464.00,1023.00,True
171,465.00,1019.00,True
172,465.00,1019.00,True
173,467.00,1016.00,True
174,474.00,1006.00,True
175,467.00,1007.00,True
176,467.00,1007.00,True
177,471.00,1001.00,True
178,468.00,996.00,True
179,468.00,991.00,True
180,468.00,986.00,True
181,468.00,967.00,True
182,470.00,975.00,True
183,470.00,962.00,True
184,471.00,955.00,True
185,471.00,952.00,True
186,472.00,948.00,True
187,472.00,933.00,True
188,472.00,932.00,True
189,471.00,925.00,True
190,471.00,923.00,True
191,474.00,916.00,True
192,474.00,913.00,True
193,476.00,908.00,True
194,475.00,906.00,True
195,475.00,904.00,True
196,478.00,894.00,True
197,476.00,891.00,True
198,477.00,891.00,True
199,478.00,891.00,True
200,481.00,893.00,True
201,479.00,893.00,True
202,481.00,893.00,True
203,484.00,893.00,True
204,484.00,893.00,True
205,484.00,893.00,True
206,490.00,894.00,True
207,490.00,903.00,True
208,488.00,903.00,True
209,489.00,910.00,True
210,489.00,913.00,True
211,491.00,915.00,True
212,491.00,923.00,True
213,492.00,928.00,True
214,488.00,928.00,True
215,491.00,933.00,True
216,491.00,937.00,True
217,490.00,935.00,True
218,487.00,940.00,True
219,478.00,940.00,True
220,479.00,938.00,True
221,478.00,938.00,True
222,478.00,935.00,True
223,477.00,930.00,True
224,477.00,921.00,True
225,476.00,926.00,True
226,476.00,916.00,True
227,469.00,915.00,True
228,461.00,908.00,True
229,464.00,899.00,True
230,459.00,891.00,True
231,460.00,891.00,True
232,459.00,883.00,True
233,458.00,871.00,True
234,453.00,871.00,True
235,451.00,862.00,True
236,451.00,859.00,True
237,451.00,857.00,True
238,444.00,854.00,True
239,443.00,850.00,True
240,436.00,850.00,True
241,439.00,847.00,True
242,439.00,842.00,True
243,437.00,842.00,True
244,434.00,842.00,True
245,424.00,845.00,True
246,429.00,847.00,True
247,427.00,845.00,True
248,427.00,845.00,True
249,429.00,845.00,True
250,426.00,845.00,True
251,424.00,845.00,True
252,422.00,845.00,True
253,422.00,845.00,True
254,423.00,849.00,True
255,424.00,849.00,True
256,420.00,849.00,True
257,419.00,850.00,True
258,419.00,850.00,True
259,410.00,845.00,True
260,412.00,845.00,True
261,412.00,845.00,True
262,412.00,840.00,True
263,405.00,839.00,True
264,403.00,832.00,True
265,402.00,827.00,True
266,401.00,824.00,True
267,398.00,818.00,True
268,396.00,813.00,True
269,392.00,807.00,True
270,387.00,796.00,True
271,388.00,796.00,True
272,383.00,790.00,True
273,382.00,786.00,True
274,380.00,783.00,True
275,374.00,780.00,True
276,372.00,780.00,True
277,366.00,778.00,True
278,365.00,776.00,True
279,349.00,771.00,True
280,344.00,768.00,True
281,345.00,773.00,True
282,340.00,775.00,True
283,335.00,775.00,True
284,330.00,775.00,True
285,330.00,778.00,True
286,330.00,788.00,True
287,362.00,786.00,True
288,359.00,788.00,True
289,359.00,798.00,True
290,354.00,798.00,True
291,352.00,798.00,True
292,353.00,805.00,True
293,349.00,812.00,True
294,349.00,818.00,True
295,349.00,820.00,True
296,346.00,825.00,True
297,348.00,830.00,True
298,345.00,840.00,True
299,345.00,840.00,True
300,349.00,840.00,True
301,349.00,847.00,True
302,350.00,854.00,True
303,350.00,854.00,True
304,350.00,861.00,True
305,357.00,862.00,True
306,357.00,864.00,True
307,359.00,872.00,True
308,363.00,874.00,True
309,364.00,883.00,True
310,367.00,883.00,True
311,373.00,893.00,True
312,377.00,896.00,True
313,381.00,899.00,True
314,381.00,903.00,True
315,388.00,913.00,True
316,389.00,920.00,True
317,388.00,918.00,True
318,395.00,920.00,True
319,400.00,932.00,True
320,402.00,932.00,True
321,407.00,932.00,True
322,413.00,937.00,True
323,418.00,942.00,True
324,418.00,942.00,True
325,424.00,940.00,True
326,425.00,935.00,True
327,431.00,935.00,True
328,430.00,933.00,True
329,435.00,925.00,True
330,437.00,925.00,True
331,440.00,925.00,True
332,445.00,932.00,True
333,452.00,933.00,True
334,458.00,937.00,True
335,456.00,935.00,True
336,463.00,937.00,True
337,465.00,938.00,True
338,455.00,943.00,True
339,455.00,945.00,True
340,454.00,955.00,True
341,459.00,953.00,True
342,459.00,958.00,True
343,459.00,958.00,True
344,502.00,1015.00,False
345,461.00,958.00,True
346,466.00,962.00,True
347,464.00,962.00,True
348,462.00,960.00,True
349,462.00,960.00,True
350,462.00,948.00,True
351,466.00,943.00,True
352,466.00,943.00,True
353,463.00,935.00,True
354,463.00,932.00,True
355,464.00,928.00,True
356,462.00,920.00,True
357,457.00,916.00,True
358,458.00,916.00,True
359,458.00,916.00,True
360,462.00,906.00,True
361,458.00,904.00,True
362,457.00,899.00,True
363,457.00,899.00,True
364,455.00,899.00,True
365,452.00,896.00,True
366,455.00,896.00,True
367,454.00,894.00,True
368,454.00,894.00,True
369,453.00,894.00,True
370,449.00,894.00,True
371,446.00,896.00,True
372,446.00,896.00,True
373,440.00,896.00,True
374,440.00,896.00,True
375,437.00,896.00,True
376,435.00,898.00,True
377,435.00,898.00,True
378,435.00,898.00,True
379,426.00,901.00,True
380,426.00,901.00,True
381,426.00,901.00,True
382,426.00,901.00,True
383,426.00,901.00,True
384,426.00,901.00,True
385,426.00,901.00,True
386,426.00,901.00,True
387,431.00,904.00,True
388,432.00,906.00,True
389,433.00,913.00,True
390,439.00,913.00,True
391,440.00,920.00,True
392,440.00,920.00,True
393,445.00,921.00,True
394,453.00,933.00,True
395,459.00,940.00,True
396,463.00,940.00,True
397,471.00,950.00,True
398,472.00,957.00,True
399,480.00,958.00,True
400,492.00,965.00,True
401,499.00,970.00,True
402,506.00,970.00,True
403,513.00,970.00,True
404,515.00,975.00,True
405,522.00,975.00,True
406,527.00,972.00,True
407,535.00,974.00,True
408,545.00,970.00,True
409,554.00,960.00,True
410,557.00,965.00,True
411,566.00,958.00,True
412,573.00,955.00,True
413,578.00,952.00,True
414,582.00,948.00,True
415,586.00,938.00,True
416,595.00,930.00,True
417,597.00,925.00,True
418,603.00,920.00,True
419,608.00,913.00,True
420,614.00,899.00,True
421,617.00,896.00,True
422,629.00,883.00,True
423,632.00,876.00,True
424,636.00,862.00,True
425,645.00,847.00,True
426,648.00,840.00,True
427,649.00,832.00,True
428,652.00,824.00,True
429,655.00,815.00,True
430,659.00,805.00,True
