frame,x,y,manual
0,1204.00,359.00,True
1,1204.00,359.00,False
2,1204.00,373.00,False
3,1210.00,382.00,False
4,1218.00,389.00,False
5,1233.00,393.00,False
6,1233.00,393.00,False
7,1261.00,399.00,False
8,1278.00,401.00,False
9,1290.00,403.00,False
10,1302.00,398.00,False
11,1302.00,398.00,False
12,1312.00,386.00,False
13,1314.00,382.00,False
14,1313.00,379.00,False
15,1311.00,378.00,False
16,1310.00,378.00,False
17,1310.00,378.00,False
18,1308.00,382.00,False
19,1303.00,396.00,False
20,1298.00,407.00,False
21,1294.00,426.00,False
22,1294.00,426.00,False
23,1289.00,444.00,False
24,1287.00,454.00,False
25,1287.00,465.00,False
26,1287.00,465.00,False
27,1286.00,469.00,False
28,1286.00,471.00,False
29,1283.00,469.00,False
30,1278.00,467.00,False
31,1270.00,469.00,False
32,1263.00,473.00,False
33,1252.00,481.00,False
34,1252.00,481.00,False
35,1244.00,490.00,False
36,1239.00,496.00,False
37,1234.00,506.00,False
38,1234.00,506.00,False
39,1230.00,511.00,False
40,1227.00,517.00,False
41,1225.00,520.00,False
42,1227.00,522.00,False
43,1228.00,526.00,False
44,1226.00,527.00,False
45,1219.00,528.00,False
46,1216.00,527.00,False
47,1210.00,525.00,False
48,1210.00,525.00,False
49,1199.00,523.00,False
50,1192.00,523.00,False
51,1186.00,526.00,False
52,1182.00,530.00,False
53,1180.00,531.00,False
54,1178.00,532.00,False
55,1174.00,530.00,False
56,1170.00,527.00,False
57,1169.00,525.00,False
58,1169.00,522.00,False
59,1169.00,519.00,False
60,1167.00,516.00,False
61,1162.00,514.00,False
62,1156.00,515.00,False
63,1151.00,515.00,False
64,1145.00,516.00,False
65,1137.00,520.00,False
66,1130.00,524.00,False
67,1126.00,527.00,False
68,1123.00,528.00,False
69,1124.00,529.00,False
70,1125.00,530.00,False
71,1127.00,532.00,False
72,1128.00,532.00,False
73,1128.00,530.00,False
74,1127.00,525.00,False
75,1128.00,521.00,False
76,1130.00,519.00,False
77,1130.00,519.00,False
78,1135.00,523.00,False
79,1140.00,527.00,False
80,1142.00,531.00,False
81,1141.00,535.00,False
82,1138.00,537.00,False
83,1140.00,539.00,False
84,1144.00,539.00,False
85,1147.00,539.00,False
86,1147.00,539.00,False
87,1146.00,539.00,False
88,1143.00,541.00,False
89,1141.00,544.00,False
90,1137.00,546.00,False
91,1132.00,546.00,False
92,1127.00,543.00,False
93,1127.00,543.00,False
94,1121.00,540.00,False
95,1114.00,539.00,False
96,1108.00,539.00,False
97,1101.00,541.00,False
98,1094.00,544.00,False
99,1088.00,550.00,False
100,1086.00,557.00,False
101,1086.00,562.00,False
102,1087.00,565.00,False
103,1087.00,569.00,False
104,1088.00,574.00,False
105,1088.00,575.00,False
106,1089.00,575.00,False
107,1087.00,575.00,False
108,1087.00,576.00,False
109,1082.00,575.00,False
110,1077.00,579.00,False
111,1073.00,586.00,False
112,1067.00,591.00,False
113,1061.00,598.00,False
114,1057.00,605.00,False
115,1059.00,613.00,False
116,1062.00,621.00,False
117,1069.00,631.00,False
118,1074.00,638.00,False
119,1076.00,643.00,False
120,1078.00,646.00,False
121,1080.00,650.00,False
122,1080.00,655.00,False
123,1080.00,661.00,False
124,1080.00,669.00,False
125,1080.00,676.00,False
126,1082.00,682.00,False
127,1081.00,683.00,False
128,1078.00,683.00,False
129,1076.00,686.00,False
130,1073.00,691.00,False
131,1071.00,698.00,False
132,1070.00,705.00,False
133,1071.00,711.00,False
134,1070.00,710.00,False
135,1066.00,705.00,False
136,1059.00,702.00,False
137,1049.00,696.00,False
138,1039.00,703.00,False
139,1039.00,703.00,False
140,1034.00,707.00,False
141,1031.00,707.00,False
142,1027.00,709.00,False
143,1027.00,709.00,False
144,1017.00,714.00,False
145,1010.00,717.00,False
146,1002.00,722.00,False
147,992.00,729.00,False
148,986.00,737.00,False
149,982.00,743.00,False
150,979.00,750.00,False
151,974.00,758.00,False
152,972.00,765.00,False
153,971.00,770.00,False
154,971.00,769.00,False
155,973.00,764.00,False
156,979.00,761.00,False
157,979.00,761.00,False
158,984.00,763.00,False
159,992.00,767.00,False
160,1000.00,770.00,False
161,1012.00,774.00,False
162,1012.00,774.00,False
163,1022.00,782.00,False
164,1031.00,787.00,False
165,1031.00,787.00,False
166,1037.00,788.00,False
167,1042.00,790.00,False
168,1051.00,792.00,False
169,1058.00,798.00,False
170,1063.00,803.00,False
171,1066.00,804.00,False
172,1069.00,808.00,False
173,1073.00,812.00,False
174,1076.00,817.00,False
175,1081.00,825.00,False
176,1086.00,830.00,False
177,1089.00,834.00,False
178,1090.00,838.00,False
179,1089.00,839.00,False
180,1087.00,837.00,False
181,1087.00,835.00,False
182,1084.00,827.00,False
183,1080.00,823.00,False
184,1075.00,818.00,False
185,1070.00,813.00,False
186,1064.00,806.00,False
187,1059.00,803.00,False
188,1054.00,802.00,False
189,1050.00,801.00,False
190,1046.00,796.00,False
191,1044.00,789.00,False
192,1043.00,788.00,False
193,1043.00,791.00,False
194,1043.00,793.00,False
195,1044.00,793.00,False
196,1047.00,791.00,False
197,1050.00,787.00,False
198,1053.00,782.00,False
199,1057.00,778.00,False
200,1063.00,773.00,False
201,1070.00,765.00,False
