frame,x,y,manual
0,1132.00,338.00,True
1,1131.00,354.00,True
2,1128.00,369.00,True
3,1131.00,381.00,True
4,1134.00,382.00,True
5,1149.00,394.00,True
6,1149.00,394.00,True
7,1176.00,389.00,True
8,1194.00,389.00,True
9,1202.00,390.00,True
10,1215.00,390.00,True
11,1215.00,389.00,True
12,1230.00,374.00,True
13,1228.00,371.00,True
14,1230.00,364.00,True
15,1230.00,364.00,True
16,1230.00,364.00,True
17,1224.00,364.00,True
18,1228.00,364.00,True
19,1221.00,374.00,True
20,1215.00,385.00,True
21,1216.00,402.00,True
22,1216.00,404.00,True
23,1215.00,417.00,True
24,1214.00,425.00,True
25,1215.00,437.00,True
26,1220.00,444.00,True
27,1220.00,444.00,True
28,1221.00,444.00,True
29,1224.00,444.00,True
30,1220.00,440.00,True
31,1212.00,440.00,True
32,1209.00,443.00,True
33,1198.00,454.00,True
34,1202.00,452.00,True
35,1197.00,460.00,True
36,1191.00,471.00,True
37,1191.00,479.00,True
38,1191.00,481.00,True
39,1188.00,482.00,True
40,1184.00,486.00,True
41,1185.00,493.00,True
42,1185.00,493.00,True
43,1188.00,497.00,True
44,1188.00,501.00,True
45,1185.00,501.00,True
46,1180.00,501.00,True
47,1173.00,500.00,True
48,1173.00,500.00,True
49,1166.00,495.00,True
50,1161.00,495.00,True
51,1160.00,500.00,True
52,1149.00,506.00,True
53,1150.00,505.00,True
54,1148.00,506.00,True
55,1144.00,508.00,True
56,1140.00,504.00,True
57,1136.00,504.00,True
58,1143.00,502.00,True
59,1143.00,497.00,True
60,1140.00,494.00,True
61,1136.00,493.00,True
62,1128.00,495.00,True
63,1124.00,494.00,True
64,1116.00,495.00,True
65,1108.00,497.00,True
66,1102.00,502.00,True
67,1096.00,505.00,True
68,1096.00,505.00,True
69,1096.00,509.00,True
70,1096.00,509.00,True
71,1101.00,509.00,True
72,1104.00,512.00,True
73,1104.00,512.00,True
74,1106.00,504.00,True
75,1104.00,504.00,True
76,1106.00,501.00,True
77,1106.00,501.00,True
78,1113.00,501.00,True
79,1119.00,502.00,True
80,1120.00,510.00,True
81,1118.00,514.00,True
