frame,x,y,manual
0,665.00,1042.00,True
1,665.00,1042.00,False
2,665.00,1042.00,False
3,665.00,1041.00,False
4,665.00,1041.00,False
5,665.00,1042.00,False
6,665.00,1042.00,False
7,665.00,1042.00,False
8,665.00,1043.00,False
9,665.00,1043.00,False
10,664.00,1044.00,False
11,665.00,1044.00,False
12,665.00,1045.00,False
13,665.00,1045.00,False
14,665.00,1046.00,False
15,666.00,1047.00,False
16,666.00,1048.00,False
17,666.00,1049.00,False
18,666.00,1051.00,False
19,666.00,1051.00,False
20,667.00,1053.00,False
21,668.00,1054.00,False
22,668.00,1055.00,False
23,669.00,1056.00,False
24,669.00,1056.00,False
25,669.00,1057.00,False
26,669.00,1057.00,False
27,668.00,1057.00,False
28,668.00,1058.00,False
29,668.00,1059.00,False
30,669.00,1060.00,False
31,670.00,1062.00,False
32,670.00,1063.00,False
33,672.00,1065.00,False
34,673.00,1067.00,False
35,673.00,1068.00,False
36,672.00,1071.00,False
37,671.00,1072.00,False
38,669.00,1072.00,False
39,666.00,1072.00,False
40,665.00,1073.00,False
41,662.00,1073.00,False
42,660.00,1073.00,False
43,658.00,1073.00,False
44,655.00,1072.00,False
45,652.00,1072.00,False
46,650.00,1071.00,False
47,646.00,1071.00,False
48,643.00,1071.00,False
49,640.00,1071.00,False
50,636.00,1073.00,False
51,633.00,1073.00,False
52,629.00,1074.00,False
53,625.00,1074.00,False
54,621.00,1074.00,False
55,617.00,1073.00,False
56,612.00,1072.00,False
57,608.00,1070.00,False
58,605.00,1068.00,False
59,601.00,1065.00,False
60,597.00,1063.00,False
61,594.00,1060.00,False
62,591.00,1057.00,False
63,587.00,1054.00,False
64,584.00,1052.00,False
65,583.00,1048.00,False
66,581.00,1046.00,False
67,580.00,1044.00,False
68,579.00,1042.00,False
69,578.00,1039.00,False
70,576.00,1037.00,False
71,574.00,1035.00,False
72,574.00,1033.00,False
73,573.00,1030.00,False
74,571.00,1028.00,False
75,570.00,1026.00,False
76,569.00,1023.00,False
77,568.00,1020.00,False
78,567.00,1018.00,False
79,566.00,1015.00,False
80,565.00,1012.00,False
81,565.00,1010.00,False
82,565.00,1007.00,False
83,565.00,1004.00,False
84,565.00,1002.00,False
85,566.00,1000.00,False
86,566.00,999.00,False
87,567.00,997.00,False
88,567.00,995.00,False
89,568.00,994.00,False
90,569.00,992.00,False
91,570.00,991.00,False
92,570.00,990.00,False
93,571.00,988.00,False
94,572.00,986.00,False
95,573.00,985.00,False
96,573.00,983.00,False
97,574.00,981.00,False
98,575.00,980.00,False
99,576.00,979.00,False
100,577.00,977.00,False
101,579.00,977.00,False
102,580.00,975.00,False
103,581.00,975.00,False
104,582.00,973.00,False
105,583.00,972.00,False
106,585.00,971.00,False
107,586.00,971.00,False
108,587.00,970.00,False
109,588.00,970.00,False
110,590.00,969.00,False
111,591.00,968.00,False
112,593.00,967.00,False
113,595.00,966.00,False
114,597.00,965.00,False
115,599.00,965.00,False
116,601.00,964.00,False
117,603.00,964.00,False
118,605.00,964.00,False
119,608.00,964.00,False
120,610.00,964.00,False
121,612.00,964.00,False
122,614.00,964.00,False
123,616.00,963.00,False
124,618.00,963.00,False
125,619.00,963.00,False
126,621.00,963.00,False
127,621.00,963.00,False
128,622.00,963.00,False
129,623.00,964.00,False
130,625.00,965.00,False
131,627.00,967.00,False
132,631.00,969.00,False
133,633.00,973.00,False
134,636.00,975.00,False
135,640.00,975.00,False
136,643.00,975.00,False
137,645.00,975.00,False
138,647.00,975.00,False
139,648.00,976.00,False
140,649.00,976.00,False
141,650.00,977.00,False
142,651.00,978.00,False
143,652.00,978.00,False
144,653.00,979.00,False
145,653.00,980.00,False
146,654.00,980.00,False
147,654.00,981.00,False
148,655.00,982.00,False
149,656.00,983.00,False
150,656.00,984.00,False
151,656.00,986.00,False
152,656.00,987.00,False
153,655.00,988.00,False
154,655.00,989.00,False
155,655.00,991.00,False
156,655.00,992.00,False
157,654.00,994.00,False
158,653.00,994.00,False
159,652.00,995.00,False
160,652.00,996.00,False
161,652.00,997.00,False
162,650.00,997.00,False
163,649.00,997.00,False
164,648.00,997.00,False
165,647.00,997.00,False
166,646.00,997.00,False
167,645.00,997.00,False
168,644.00,997.00,False
169,643.00,997.00,False
170,642.00,997.00,False
171,641.00,997.00,False
172,640.00,997.00,False
173,638.00,996.00,False
174,637.00,996.00,False
175,635.00,995.00,False
176,634.00,995.00,False
177,631.00,994.00,False
178,630.00,993.00,False
179,628.00,993.00,False
180,626.00,992.00,False
181,624.00,991.00,False
182,623.00,990.00,False
183,623.00,990.00,False
184,622.00,989.00,False
185,621.00,988.00,False
186,619.00,988.00,False
187,618.00,987.00,False
188,617.00,986.00,False
189,615.00,985.00,False
190,614.00,984.00,False
191,612.00,983.00,False
192,610.00,982.00,False
193,609.00,981.00,False
194,607.00,979.00,False
195,607.00,978.00,False
196,605.00,977.00,False
197,604.00,975.00,False
198,604.00,974.00,False
199,603.00,972.00,False
200,602.00,971.00,False
201,602.00,968.00,False
202,602.00,965.00,False
203,603.00,963.00,False
204,603.00,961.00,False
205,603.00,958.00,False
206,603.00,956.00,False
207,602.00,954.00,False
208,602.00,953.00,False
209,600.00,951.00,False
210,600.00,949.00,False
