frame,x,y,manual
0,632.00,1094.00,True
1,632.00,1094.00,False
2,632.00,1094.00,False
3,632.00,1094.00,False
4,631.00,1094.00,False
5,631.00,1094.00,False
6,631.00,1094.00,False
7,631.00,1094.00,False
8,631.00,1095.00,False
9,631.00,1095.00,False
10,631.00,1095.00,False
11,631.00,1096.00,False
12,631.00,1097.00,False
13,631.00,1098.00,False
14,631.00,1099.00,False
15,631.00,1100.00,False
16,631.00,1101.00,False
17,631.00,1102.00,False
18,631.00,1103.00,False
19,632.00,1104.00,False
20,632.00,1104.00,False
21,632.00,1106.00,False
22,633.00,1106.00,False
23,633.00,1107.00,False
24,633.00,1108.00,False
25,633.00,1108.00,False
26,633.00,1108.00,False
27,633.00,1108.00,False
28,633.00,1109.00,False
29,634.00,1111.00,False
30,634.00,1112.00,False
31,634.00,1114.00,False
32,635.00,1115.00,False
33,637.00,1117.00,False
34,637.00,1118.00,False
35,637.00,1119.00,False
36,636.00,1120.00,False
37,635.00,1119.00,False
38,634.00,1120.00,False
39,631.00,1120.00,False
40,630.00,1120.00,False
41,628.00,1119.00,False
42,626.00,1119.00,False
43,623.00,1119.00,False
44,622.00,1118.00,False
45,619.00,1116.00,False
46,617.00,1116.00,False
47,614.00,1114.00,False
48,611.00,1114.00,False
49,608.00,1115.00,False
50,605.00,1115.00,False
51,602.00,1115.00,False
52,599.00,1114.00,False
53,596.00,1113.00,False
54,593.00,1111.00,False
55,589.00,1109.00,False
56,585.00,1107.00,False
57,582.00,1105.00,False
58,579.00,1102.00,False
59,575.00,1099.00,False
60,572.00,1095.00,False
61,570.00,1092.00,False
62,567.00,1088.00,False
63,565.00,1085.00,False
64,563.00,1081.00,False
65,561.00,1078.00,False
66,560.00,1074.00,False
67,560.00,1071.00,False
68,559.00,1068.00,False
69,560.00,1065.00,False
70,559.00,1063.00,False
71,558.00,1060.00,False
72,557.00,1057.00,False
73,557.00,1054.00,False
74,556.00,1052.00,False
75,554.00,1049.00,False
76,554.00,1046.00,False
77,553.00,1043.00,False
78,552.00,1040.00,False
79,551.00,1038.00,False
80,550.00,1034.00,False
81,550.00,1032.00,False
82,550.00,1029.00,False
83,550.00,1026.00,False
84,550.00,1024.00,False
85,550.00,1022.00,False
86,550.00,1019.00,False
87,551.00,1017.00,False
88,552.00,1016.00,False
89,553.00,1013.00,False
90,554.00,1012.00,False
91,555.00,1010.00,False
92,556.00,1009.00,False
93,556.00,1007.00,False
94,557.00,1005.00,False
95,558.00,1004.00,False
96,559.00,1002.00,False
97,560.00,1000.00,False
98,561.00,998.00,False
99,563.00,998.00,False
100,564.00,995.00,False
101,565.00,995.00,False
102,567.00,993.00,False
103,568.00,992.00,False
104,569.00,990.00,False
105,570.00,989.00,False
106,572.00,989.00,False
107,574.00,988.00,False
108,575.00,988.00,False
109,577.00,987.00,False
110,579.00,985.00,False
111,581.00,984.00,False
112,582.00,982.00,False
113,584.00,981.00,False
114,587.00,980.00,False
115,589.00,980.00,False
116,591.00,979.00,False
117,594.00,979.00,False
118,596.00,979.00,False
119,599.00,979.00,False
120,601.00,979.00,False
121,604.00,979.00,False
122,606.00,979.00,False
123,608.00,978.00,False
124,610.00,978.00,False
125,611.00,978.00,False
126,613.00,978.00,False
127,614.00,978.00,False
128,615.00,978.00,False
129,617.00,979.00,False
130,619.00,981.00,False
131,622.00,982.00,False
132,625.00,984.00,False
133,628.00,987.00,False
134,631.00,990.00,False
135,634.00,990.00,False
136,638.00,990.00,False
137,642.00,990.00,False
138,644.00,990.00,False
139,645.00,991.00,False
140,647.00,992.00,False
141,647.00,993.00,False
142,649.00,993.00,False
143,650.00,994.00,False
144,650.00,994.00,False
145,652.00,995.00,False
146,653.00,996.00,False
147,653.00,997.00,False
148,653.00,997.00,False
149,654.00,999.00,False
150,654.00,1000.00,False
151,654.00,1001.00,False
152,654.00,1003.00,False
153,653.00,1004.00,False
154,653.00,1005.00,False
155,653.00,1006.00,False
156,652.00,1007.00,False
157,651.00,1008.00,False
158,650.00,1008.00,False
159,649.00,1009.00,False
160,648.00,1010.00,False
161,647.00,1010.00,False
162,645.00,1010.00,False
163,644.00,1010.00,False
164,642.00,1010.00,False
165,642.00,1010.00,False
166,640.00,1010.00,False
167,640.00,1010.00,False
168,638.00,1010.00,False
169,636.00,1010.00,False
170,635.00,1010.00,False
171,633.00,1010.00,False
172,632.00,1010.00,False
173,630.00,1009.00,False
174,628.00,1009.00,False
175,626.00,1009.00,False
176,624.00,1008.00,False
177,622.00,1007.00,False
178,620.00,1007.00,False
179,618.00,1006.00,False
180,616.00,1005.00,False
181,615.00,1004.00,False
182,613.00,1004.00,False
183,612.00,1003.00,False
184,611.00,1002.00,False
185,611.00,1002.00,False
186,609.00,1001.00,False
187,608.00,1000.00,False
188,606.00,999.00,False
189,605.00,999.00,False
190,603.00,997.00,False
191,602.00,996.00,False
192,600.00,994.00,False
193,599.00,994.00,False
194,598.00,992.00,False
195,597.00,991.00,False
196,596.00,989.00,False
197,595.00,988.00,False
198,595.00,987.00,False
199,594.00,985.00,False
200,593.00,983.00,False
201,593.00,981.00,False
202,593.00,978.00,False
203,594.00,976.00,False
204,594.00,974.00,False
205,595.00,971.00,False
206,595.00,969.00,False
207,594.00,967.00,False
208,593.00,966.00,False
209,593.00,965.00,False
210,592.00,962.00,False
211,592.00,960.00,False
212,591.00,958.00,False
213,591.00,956.00,False
214,590.00,953.00,False
215,588.00,952.00,False
216,588.00,950.00,False
217,586.00,949.00,False
218,585.00,947.00,False
219,584.00,946.00,False
220,583.00,945.00,False
221,582.00,944.00,False
222,581.00,942.00,False
223,581.00,941.00,False
224,579.00,940.00,False
225,579.00,939.00,False
226,578.00,938.00,False
227,577.00,938.00,False
228,576.00,936.00,False
229,576.00,935.00,False
230,576.00,934.00,False
231,575.00,932.00,False
232,576.00,931.00,False
233,577.00,930.00,False
234,580.00,928.00,False
235,582.00,926.00,False
236,585.00,924.00,False
237,587.00,923.00,False
238,589.00,921.00,False
239,590.00,920.00,False
240,591.00,920.00,False
241,592.00,920.00,False
242,593.00,919.00,False
243,594.00,919.00,False
244,594.00,918.00,False
245,595.00,918.00,False
246,596.00,918.00,False
247,597.00,918.00,False
248,598.00,918.00,False
249,598.00,919.00,False
250,599.00,918.00,False
251,600.00,918.00,False
252,602.00,918.00,False
253,605.00,918.00,False
254,607.00,919.00,False
255,610.00,919.00,False
256,613.00,919.00,False
257,617.00,918.00,False
258,621.00,918.00,False
259,626.00,919.00,False
260,633.00,919.00,False
261,640.00,919.00,False
262,647.00,920.00,False
263,654.00,920.00,False
264,660.00,920.00,False
265,665.00,921.00,False
266,670.00,921.00,False
267,674.00,922.00,False
268,677.00,922.00,False
269,679.00,923.00,False
270,679.00,923.00,False
271,679.00,923.00,False
272,678.00,923.00,False
273,678.00,923.00,False
274,677.00,922.00,False
275,676.00,922.00,False
276,675.00,922.00,False
277,673.00,922.00,False
278,672.00,921.00,False
279,670.00,922.00,False
280,669.00,922.00,False
281,668.00,922.00,False
282,668.00,922.00,False
283,667.00,922.00,False
284,667.00,922.00,False
285,666.00,923.00,False
286,666.00,924.00,False
287,666.00,925.00,False
288,667.00,925.00,False
289,667.00,926.00,False
290,668.00,927.00,False
291,668.00,929.00,False
292,669.00,930.00,False
293,669.00,932.00,False
294,669.00,933.00,False
295,670.00,934.00,False
296,670.00,934.00,False
297,671.00,935.00,False
298,671.00,937.00,False
299,672.00,937.00,False
300,673.00,939.00,False
301,675.00,940.00,False
302,676.00,940.00,False
303,677.00,941.00,False
304,678.00,941.00,False
305,679.00,942.00,False
306,679.00,942.00,False
307,679.00,942.00,False
308,680.00,943.00,False
309,681.00,944.00,False
310,682.00,944.00,False
311,682.00,945.00,False
312,682.00,946.00,False
313,682.00,947.00,False
314,682.00,948.00,False
315,682.00,950.00,False
316,682.00,950.00,False
317,682.00,952.00,False
318,682.00,953.00,False
319,683.00,954.00,False
320,683.00,956.00,False
321,683.00,957.00,False
322,683.00,959.00,False
323,683.00,960.00,False
324,683.00,961.00,False
325,683.00,963.00,False
326,683.00,963.00,False
327,684.00,965.00,False
328,684.00,966.00,False
329,685.00,967.00,False
330,685.00,968.00,False
331,685.00,969.00,False
332,685.00,970.00,False
333,685.00,972.00,False
334,685.00,972.00,False
335,684.00,972.00,False
336,684.00,973.00,False
337,683.00,973.00,False
338,683.00,974.00,False
339,683.00,974.00,False
340,683.00,974.00,False
341,681.00,974.00,False
342,681.00,974.00,False
343,681.00,974.00,False
344,681.00,974.00,False
345,681.00,973.00,False
346,681.00,973.00,False
347,683.00,972.00,False
348,684.00,972.00,False
349,686.00,972.00,False
350,689.00,973.00,False
351,692.00,972.00,False
352,694.00,972.00,False
