frame,x,y,manual
0,536.00,1063.00,True
1,536.00,1063.00,False
2,536.00,1063.00,False
3,536.00,1063.00,False
4,536.00,1063.00,False
5,536.00,1063.00,False
6,536.00,1062.00,False
7,536.00,1062.00,False
8,535.00,1063.00,False
9,535.00,1063.00,False
10,535.00,1063.00,False
11,535.00,1064.00,False
12,535.00,1065.00,False
13,535.00,1066.00,False
14,536.00,1067.00,False
15,536.00,1069.00,False
16,536.00,1069.00,False
17,536.00,1070.00,False
18,535.00,1071.00,False
19,535.00,1072.00,False
20,536.00,1072.00,False
21,537.00,1073.00,False
22,537.00,1074.00,False
23,537.00,1074.00,False
24,537.00,1076.00,False
25,537.00,1076.00,False
26,537.00,1076.00,False
27,537.00,1076.00,False
28,536.00,1076.00,False
29,536.00,1077.00,False
30,538.00,1078.00,False
31,539.00,1080.00,False
32,540.00,1080.00,False
33,541.00,1082.00,False
34,541.00,1083.00,False
35,541.00,1084.00,False
36,541.00,1085.00,False
37,540.00,1086.00,False
38,539.00,1087.00,False
39,538.00,1086.00,False
40,538.00,1086.00,False
41,536.00,1086.00,False
42,535.00,1085.00,False
43,534.00,1085.00,False
44,532.00,1085.00,False
45,531.00,1083.00,False
46,529.00,1082.00,False
47,529.00,1082.00,False
48,527.00,1082.00,False
49,528.00,1081.00,False
50,524.00,1079.00,False
51,523.00,1079.00,False
52,522.00,1079.00,False
53,520.00,1077.00,False
54,518.00,1076.00,False
55,517.00,1075.00,False
56,515.00,1073.00,False
57,513.00,1072.00,False
58,511.00,1069.00,False
59,510.00,1067.00,False
60,506.00,1062.00,False
61,506.00,1059.00,False
62,504.00,1056.00,False
63,504.00,1053.00,False
64,504.00,1050.00,False
65,503.00,1046.00,False
66,504.00,1045.00,False
67,505.00,1043.00,False
68,506.00,1041.00,False
69,507.00,1038.00,False
70,508.00,1037.00,False
71,509.00,1035.00,False
72,510.00,1033.00,False
73,510.00,1031.00,False
74,511.00,1029.00,False
75,511.00,1027.00,False
76,511.00,1024.00,False
77,512.00,1022.00,False
78,512.00,1017.00,False
79,512.00,1014.00,False
80,513.00,1011.00,False
81,515.00,1009.00,False
82,515.00,1006.00,False
83,517.00,1004.00,False
84,518.00,1002.00,False
85,519.00,1000.00,False
86,519.00,999.00,False
87,520.00,998.00,False
88,521.00,997.00,False
89,522.00,997.00,False
90,524.00,994.00,False
91,527.00,992.00,False
92,527.00,992.00,False
93,530.00,991.00,False
94,531.00,989.00,False
95,531.00,987.00,False
96,533.00,987.00,False
97,534.00,985.00,False
98,535.00,984.00,False
99,536.00,983.00,False
100,537.00,982.00,False
101,539.00,981.00,False
102,539.00,979.00,False
103,540.00,978.00,False
104,542.00,977.00,False
105,543.00,976.00,False
106,544.00,976.00,False
107,545.00,976.00,False
108,546.00,976.00,False
109,547.00,975.00,False
110,548.00,975.00,False
111,548.00,974.00,False
112,549.00,973.00,False
113,550.00,972.00,False
114,551.00,972.00,False
115,552.00,972.00,False
116,552.00,973.00,False
117,554.00,972.00,False
118,555.00,973.00,False
119,557.00,973.00,False
120,560.00,973.00,False
121,561.00,974.00,False
122,562.00,974.00,False
123,564.00,975.00,False
124,564.00,976.00,False
125,565.00,976.00,False
126,566.00,977.00,False
127,567.00,978.00,False
128,568.00,978.00,False
129,568.00,980.00,False
130,570.00,982.00,False
131,572.00,984.00,False
132,573.00,990.00,False
133,575.00,993.00,False
134,577.00,996.00,False
135,580.00,997.00,False
136,583.00,996.00,False
137,586.00,997.00,False
138,588.00,998.00,False
139,590.00,999.00,False
140,591.00,1000.00,False
141,592.00,1001.00,False
142,594.00,1002.00,False
143,595.00,1003.00,False
144,596.00,1004.00,False
145,597.00,1004.00,False
146,598.00,1005.00,False
147,598.00,1006.00,False
148,598.00,1007.00,False
149,599.00,1008.00,False
150,598.00,1009.00,False
151,598.00,1011.00,False
152,597.00,1012.00,False
153,597.00,1013.00,False
154,597.00,1015.00,False
155,596.00,1016.00,False
156,596.00,1017.00,False
157,595.00,1019.00,False
158,594.00,1019.00,False
159,593.00,1020.00,False
160,590.00,1020.00,False
161,589.00,1021.00,False
162,587.00,1021.00,False
163,586.00,1021.00,False
164,585.00,1021.00,False
165,584.00,1020.00,False
166,583.00,1020.00,False
167,580.00,1020.00,False
168,580.00,1019.00,False
169,578.00,1019.00,False
170,577.00,1019.00,False
171,575.00,1019.00,False
172,574.00,1018.00,False
173,572.00,1017.00,False
174,569.00,1016.00,False
175,567.00,1016.00,False
176,565.00,1015.00,False
177,563.00,1014.00,False
178,561.00,1014.00,False
179,560.00,1013.00,False
180,559.00,1012.00,False
181,557.00,1011.00,False
182,555.00,1011.00,False
183,555.00,1011.00,False
184,554.00,1011.00,False
185,554.00,1010.00,False
186,553.00,1009.00,False
187,552.00,1008.00,False
188,550.00,1007.00,False
189,550.00,1006.00,False
190,548.00,1005.00,False
191,547.00,1003.00,False
192,546.00,1002.00,False
193,544.00,1001.00,False
194,543.00,999.00,False
195,543.00,999.00,False
196,542.00,997.00,False
197,541.00,996.00,False
198,540.00,994.00,False
199,540.00,993.00,False
200,540.00,991.00,False
201,539.00,989.00,False
202,540.00,986.00,False
203,540.00,984.00,False
204,540.00,982.00,False
205,540.00,979.00,False
206,540.00,978.00,False
207,540.00,976.00,False
208,539.00,975.00,False
209,538.00,973.00,False
210,538.00,971.00,False
211,537.00,969.00,False
212,537.00,967.00,False
213,536.00,964.00,False
214,536.00,963.00,False
215,535.00,962.00,False
216,535.00,960.00,False
217,534.00,959.00,False
218,533.00,957.00,False
219,533.00,956.00,False
220,532.00,954.00,False
221,531.00,954.00,False
222,531.00,953.00,False
223,530.00,952.00,False
224,529.00,952.00,False
225,530.00,951.00,False
226,529.00,950.00,False
227,528.00,950.00,False
228,528.00,948.00,False
229,528.00,948.00,False
230,528.00,947.00,False
231,528.00,947.00,False
232,529.00,946.00,False
233,531.00,945.00,False
234,533.00,943.00,False
235,537.00,942.00,False
236,540.00,941.00,False
237,543.00,940.00,False
238,546.00,939.00,False
239,548.00,938.00,False
240,549.00,938.00,False
241,552.00,938.00,False
242,553.00,938.00,False
243,556.00,938.00,False
244,559.00,938.00,False
245,559.00,938.00,False
246,562.00,939.00,False
247,563.00,940.00,False
248,564.00,940.00,False
249,566.00,940.00,False
250,568.00,940.00,False
251,569.00,941.00,False
252,572.00,943.00,False
253,573.00,943.00,False
254,576.00,943.00,False
255,580.00,943.00,False
256,582.00,943.00,False
257,586.00,943.00,False
258,589.00,942.00,False
259,594.00,943.00,False
260,599.00,943.00,False
261,606.00,943.00,False
262,613.00,945.00,False
263,619.00,945.00,False
264,625.00,944.00,False
265,630.00,946.00,False
266,634.00,946.00,False
267,637.00,947.00,False
268,639.00,948.00,False
269,641.00,948.00,False
270,641.00,948.00,False
271,641.00,948.00,False
272,641.00,948.00,False
