frame,x,y,manual
0,609.00,984.00,True
1,609.00,984.00,False
2,609.00,984.00,False
3,609.00,984.00,False
4,609.00,984.00,False
5,609.00,984.00,False
6,609.00,984.00,False
7,609.00,984.00,False
8,608.00,985.00,False
9,608.00,985.00,False
10,608.00,986.00,False
11,608.00,986.00,False
12,608.00,986.00,False
13,608.00,987.00,False
14,610.00,988.00,False
15,610.00,989.00,False
16,609.00,990.00,False
17,609.00,991.00,False
18,610.00,993.00,False
19,611.00,994.00,False
20,611.00,995.00,False
21,610.00,996.00,False
22,610.00,996.00,False
23,610.00,998.00,False
24,610.00,998.00,False
25,610.00,999.00,False
26,610.00,999.00,False
27,610.00,999.00,False
28,610.00,1000.00,False
29,610.00,1001.00,False
30,611.00,1002.00,False
31,613.00,1004.00,False
32,613.00,1005.00,False
33,614.00,1007.00,False
34,614.00,1008.00,False
35,615.00,1009.00,False
36,614.00,1011.00,False
37,613.00,1012.00,False
38,611.00,1013.00,False
39,610.00,1013.00,False
40,609.00,1013.00,False
41,607.00,1013.00,False
42,605.00,1013.00,False
43,604.00,1013.00,False
44,602.00,1012.00,False
45,601.00,1012.00,False
46,599.00,1011.00,False
47,597.00,1011.00,False
48,595.00,1011.00,False
49,593.00,1011.00,False
50,591.00,1012.00,False
51,589.00,1013.00,False
52,590.00,1013.00,False
53,587.00,1013.00,False
54,584.00,1012.00,False
55,581.00,1012.00,False
56,578.00,1011.00,False
57,576.00,1010.00,False
58,573.00,1008.00,False
59,570.00,1006.00,False
60,567.00,1004.00,False
61,564.00,1002.00,False
62,563.00,999.00,False
63,560.00,997.00,False
64,558.00,995.00,False
65,557.00,992.00,False
66,557.00,990.00,False
67,557.00,988.00,False
68,556.00,987.00,False
69,555.00,986.00,False
70,555.00,984.00,False
71,555.00,983.00,False
72,553.00,981.00,False
73,553.00,979.00,False
74,553.00,978.00,False
75,553.00,976.00,False
76,552.00,974.00,False
77,552.00,972.00,False
78,552.00,970.00,False
79,552.00,968.00,False
80,553.00,966.00,False
81,552.00,964.00,False
82,553.00,962.00,False
83,553.00,961.00,False
84,554.00,959.00,False
85,555.00,957.00,False
86,556.00,956.00,False
87,557.00,955.00,False
88,558.00,954.00,False
89,558.00,953.00,False
90,560.00,953.00,False
91,561.00,952.00,False
92,562.00,951.00,False
93,563.00,950.00,False
94,565.00,949.00,False
95,565.00,948.00,False
96,566.00,947.00,False
97,567.00,946.00,False
98,567.00,945.00,False
99,569.00,945.00,False
100,570.00,943.00,False
101,571.00,942.00,False
102,572.00,942.00,False
103,573.00,941.00,False
104,574.00,940.00,False
105,575.00,939.00,False
106,576.00,939.00,False
107,577.00,939.00,False
108,578.00,938.00,False
109,579.00,938.00,False
110,579.00,938.00,False
111,581.00,937.00,False
112,582.00,937.00,False
113,582.00,936.00,False
114,584.00,935.00,False
115,585.00,934.00,False
116,586.00,935.00,False
117,587.00,935.00,False
118,588.00,935.00,False
119,589.00,935.00,False
120,592.00,935.00,False
121,594.00,936.00,False
122,595.00,936.00,False
123,597.00,936.00,False
124,598.00,936.00,False
125,598.00,937.00,False
126,598.00,938.00,False
127,598.00,938.00,False
128,598.00,938.00,False
129,597.00,938.00,False
130,599.00,940.00,False
131,600.00,942.00,False
132,601.00,945.00,False
133,603.00,949.00,False
134,605.00,951.00,False
135,607.00,953.00,False
136,611.00,953.00,False
137,613.00,953.00,False
138,615.00,953.00,False
139,616.00,954.00,False
140,617.00,955.00,False
141,617.00,956.00,False
142,618.00,957.00,False
143,619.00,957.00,False
144,619.00,958.00,False
145,620.00,959.00,False
146,621.00,959.00,False
147,621.00,960.00,False
148,621.00,961.00,False
149,621.00,962.00,False
150,621.00,964.00,False
151,621.00,965.00,False
152,621.00,966.00,False
153,620.00,967.00,False
154,621.00,968.00,False
155,621.00,970.00,False
156,620.00,970.00,False
157,619.00,972.00,False
158,618.00,973.00,False
159,617.00,973.00,False
160,617.00,974.00,False
161,616.00,974.00,False
162,614.00,974.00,False
163,613.00,974.00,False
164,612.00,974.00,False
165,611.00,974.00,False
166,610.00,974.00,False
167,609.00,974.00,False
168,608.00,974.00,False
169,607.00,973.00,False
170,607.00,973.00,False
171,606.00,973.00,False
172,605.00,972.00,False
173,604.00,972.00,False
174,603.00,972.00,False
175,600.00,971.00,False
176,599.00,970.00,False
177,597.00,969.00,False
178,595.00,969.00,False
179,594.00,969.00,False
180,592.00,967.00,False
181,590.00,966.00,False
182,589.00,966.00,False
183,588.00,965.00,False
184,588.00,965.00,False
185,587.00,965.00,False
186,585.00,964.00,False
187,584.00,963.00,False
188,584.00,962.00,False
189,582.00,961.00,False
190,581.00,961.00,False
191,579.00,960.00,False
192,577.00,958.00,False
193,576.00,957.00,False
194,575.00,956.00,False
195,574.00,955.00,False
196,573.00,954.00,False
197,572.00,953.00,False
198,571.00,951.00,False
199,570.00,949.00,False
200,570.00,948.00,False
201,570.00,946.00,False
202,570.00,943.00,False
203,570.00,941.00,False
204,571.00,939.00,False
205,571.00,936.00,False
206,571.00,935.00,False
207,571.00,933.00,False
208,570.00,931.00,False
209,568.00,929.00,False
210,567.00,927.00,False
211,567.00,925.00,False
212,567.00,923.00,False
213,566.00,922.00,False
214,566.00,921.00,False
215,564.00,919.00,False
216,564.00,917.00,False
217,562.00,916.00,False
218,561.00,915.00,False
219,559.00,913.00,False
220,559.00,913.00,False
221,557.00,911.00,False
222,556.00,911.00,False
223,555.00,909.00,False
224,553.00,908.00,False
225,551.00,908.00,False
226,551.00,906.00,False
227,549.00,906.00,False
228,548.00,905.00,False
229,546.00,904.00,False
230,546.00,903.00,False
231,545.00,902.00,False
232,545.00,901.00,False
233,546.00,899.00,False
234,547.00,898.00,False
235,550.00,896.00,False
236,553.00,895.00,False
237,555.00,894.00,False
238,557.00,893.00,False
239,559.00,892.00,False
240,559.00,891.00,False
241,560.00,891.00,False
242,560.00,891.00,False
243,561.00,890.00,False
244,563.00,890.00,False
245,564.00,890.00,False
246,567.00,891.00,False
247,567.00,892.00,False
248,568.00,892.00,False
249,569.00,892.00,False
250,569.00,892.00,False
251,570.00,893.00,False
252,572.00,892.00,False
253,574.00,892.00,False
254,577.00,892.00,False
255,581.00,892.00,False
256,585.00,892.00,False
257,588.00,892.00,False
258,592.00,891.00,False
259,596.00,891.00,False
260,604.00,891.00,False
261,611.00,892.00,False
262,617.00,892.00,False
263,623.00,891.00,False
264,629.00,891.00,False
265,634.00,892.00,False
266,639.00,892.00,False
267,643.00,893.00,False
268,646.00,893.00,False
269,648.00,893.00,False
270,648.00,893.00,False
271,649.00,893.00,False
272,648.00,892.00,False
273,647.00,891.00,False
274,646.00,891.00,False
275,646.00,890.00,False
276,644.00,891.00,False
277,642.00,890.00,False
278,640.00,890.00,False
279,639.00,890.00,False
280,638.00,889.00,False
281,636.00,889.00,False
282,636.00,889.00,False
283,635.00,889.00,False
284,634.00,889.00,False
285,634.00,889.00,False
286,634.00,890.00,False
287,634.00,890.00,False
288,634.00,891.00,False
289,634.00,892.00,False
290,634.00,892.00,False
291,635.00,894.00,False
292,636.00,895.00,False
293,636.00,896.00,False
294,637.00,898.00,False
295,637.00,898.00,False
296,637.00,899.00,False
297,637.00,900.00,False
298,637.00,900.00,False
299,638.00,901.00,False
300,638.00,902.00,False
301,640.00,902.00,False
302,640.00,903.00,False
303,642.00,903.00,False
304,642.00,904.00,False
305,643.00,904.00,False
306,643.00,904.00,False
307,644.00,904.00,False
308,644.00,904.00,False
309,644.00,904.00,False
310,645.00,905.00,False
311,645.00,905.00,False
312,645.00,906.00,False
313,645.00,907.00,False
314,644.00,908.00,False
315,644.00,909.00,False
316,644.00,910.00,False
317,645.00,911.00,False
318,645.00,912.00,False
319,645.00,913.00,False
320,646.00,915.00,False
321,646.00,916.00,False
322,646.00,917.00,False
323,646.00,919.00,False
324,646.00,919.00,False
325,645.00,920.00,False
326,645.00,921.00,False
327,645.00,921.00,False
328,646.00,922.00,False
329,646.00,923.00,False
330,646.00,923.00,False
331,646.00,924.00,False
332,646.00,924.00,False
333,646.00,925.00,False
334,646.00,927.00,False
335,645.00,927.00,False
336,646.00,927.00,False
337,645.00,927.00,False
338,645.00,927.00,False
339,645.00,927.00,False
340,644.00,927.00,False
341,643.00,926.00,False
342,643.00,927.00,False
343,642.00,926.00,False
344,642.00,925.00,False
345,642.00,924.00,False
346,643.00,923.00,False
347,643.00,922.00,False
348,645.00,922.00,False
349,648.00,922.00,False
350,650.00,922.00,False
351,653.00,921.00,False
352,655.00,920.00,False
353,658.00,920.00,False
354,660.00,920.00,False
355,662.00,920.00,False
356,665.00,920.00,False
357,666.00,920.00,False
358,667.00,918.00,False
359,668.00,917.00,False
360,667.00,916.00,False
361,666.00,914.00,False
362,664.00,912.00,False
363,662.00,910.00,False
364,659.00,909.00,False
365,656.00,907.00,False
366,654.00,906.00,False
367,651.00,906.00,False
368,649.00,904.00,False
369,646.00,902.00,False
370,644.00,902.00,False
371,641.00,901.00,False
372,639.00,899.00,False
373,638.00,898.00,False
374,636.00,898.00,False
375,635.00,897.00,False
376,634.00,894.00,False
377,633.00,894.00,False
378,632.00,891.00,False
379,633.00,890.00,False
380,633.00,890.00,False
381,633.00,890.00,False
382,633.00,890.00,False
383,633.00,890.00,False
384,633.00,890.00,False
385,633.00,890.00,False
386,633.00,890.00,False
387,633.00,890.00,False
388,641.00,888.00,True
389,645.00,881.00,True
390,648.00,878.00,True
391,654.00,874.00,True
392,662.00,869.00,True
393,663.00,876.00,True
394,677.00,864.00,True
395,687.00,871.00,True
396,692.00,871.00,True
397,694.00,866.00,True
398,700.00,874.00,True
399,707.00,876.00,True
400,714.00,871.00,True
401,718.00,874.00,True
402,726.00,888.00,True
403,729.00,886.00,True
404,737.00,883.00,True
405,738.00,878.00,True
406,738.00,878.00,True
407,745.00,883.00,True
408,743.00,886.00,True
409,739.00,902.00,True
410,741.00,893.00,True
411,731.00,886.00,True
412,728.00,898.00,True
413,723.00,895.00,True
414,721.00,895.00,True
415,719.00,905.00,True
416,714.00,902.00,True
417,713.00,902.00,True
418,705.00,898.00,True
419,693.00,910.00,True
420,689.00,907.00,True
421,689.00,907.00,True
422,683.00,905.00,True
423,680.00,905.00,True
424,683.00,912.00,True
425,683.00,912.00,True
426,683.00,912.00,True
427,685.00,926.00,True
