frame,x,y,manual
0,628.00,1018.00,True
1,628.00,1018.00,False
2,626.00,1018.00,False
3,624.00,1019.00,False
4,621.00,1021.00,False
5,619.00,1024.00,False
6,617.00,1027.00,False
7,615.00,1030.00,False
8,613.00,1033.00,False
9,611.00,1036.00,False
10,610.00,1039.00,False
11,611.00,1042.00,False
12,612.00,1044.00,False
13,614.00,1046.00,False
14,616.00,1046.00,False
15,617.00,1046.00,False
16,619.00,1046.00,False
17,619.00,1046.00,False
18,620.00,1046.00,False
19,621.00,1046.00,False
20,622.00,1045.00,False
21,623.00,1045.00,False
22,622.00,1044.00,False
23,620.00,1044.00,False
24,619.00,1047.00,False
25,619.00,1048.00,False
26,616.00,1050.00,False
27,613.00,1050.00,False
28,609.00,1051.00,False
29,608.00,1052.00,False
30,608.00,1053.00,False
31,607.00,1053.00,False
32,605.00,1053.00,False
33,603.00,1053.00,False
34,602.00,1052.00,False
35,601.00,1050.00,False
36,602.00,1048.00,False
37,602.00,1045.00,False
38,602.00,1042.00,False
39,603.00,1039.00,False
40,603.00,1038.00,False
41,603.00,1035.00,False
42,603.00,1033.00,False
43,603.00,1032.00,False
44,603.00,1032.00,False
45,600.00,1032.00,False
46,599.00,1033.00,False
47,598.00,1033.00,False
48,598.00,1032.00,False
49,598.00,1031.00,False
50,599.00,1032.00,False
51,599.00,1032.00,False
52,600.00,1032.00,False
53,601.00,1032.00,False
54,603.00,1034.00,False
55,604.00,1035.00,False
56,606.00,1035.00,False
57,607.00,1035.00,False
58,610.00,1034.00,False
59,612.00,1033.00,False
60,614.00,1031.00,False
61,615.00,1030.00,False
62,615.00,1029.00,False
63,614.00,1028.00,False
64,613.00,1028.00,False
65,612.00,1028.00,False
66,610.00,1025.00,False
67,609.00,1023.00,False
68,608.00,1023.00,False
69,609.00,1025.00,False
70,609.00,1026.00,False
71,607.00,1027.00,False
72,605.00,1027.00,False
73,603.00,1026.00,False
74,603.00,1025.00,False
75,604.00,1025.00,False
76,604.00,1023.00,False
77,604.00,1022.00,False
78,603.00,1020.00,False
79,601.00,1019.00,False
80,601.00,1018.00,False
81,601.00,1018.00,False
82,600.00,1016.00,False
83,600.00,1016.00,False
84,601.00,1016.00,False
85,601.00,1016.00,False
86,601.00,1016.00,False
87,600.00,1017.00,False
88,600.00,1017.00,False
89,600.00,1017.00,False
90,600.00,1017.00,False
91,600.00,1017.00,False
92,600.00,1015.00,False
93,600.00,1013.00,False
94,601.00,1011.00,False
95,603.00,1010.00,False
96,604.00,1009.00,False
97,607.00,1007.00,False
98,609.00,1005.00,False
99,611.00,1002.00,False
100,613.00,1001.00,False
101,616.00,1000.00,False
102,616.00,999.00,False
103,617.00,999.00,False
104,618.00,1000.00,False
105,619.00,1001.00,False
106,619.00,1000.00,False
107,619.00,1000.00,False
108,620.00,1000.00,False
109,620.00,1002.00,False
110,618.00,1002.00,False
111,613.00,1001.00,False
112,608.00,1000.00,False
113,604.00,997.00,False
114,599.00,994.00,False
115,593.00,990.00,False
116,586.00,984.00,False
117,579.00,978.00,False
118,574.00,973.00,False
119,569.00,968.00,False
120,564.00,965.00,False
121,561.00,962.00,False
122,558.00,961.00,False
123,556.00,959.00,False
