video,config,n_points,mae,n_lost,track_ratio
goat,K0_LK_only,5,12.872,0.0,1.0
goat,K1_LK_FB,5,10.275,31.6,0.645
goat,K2_LK_FB_Conf,5,10.275,31.6,0.645
goat,K3_LK_FB_Conf_Adapt,5,9.991,64.2,0.279
goat,K4_LK_FB_Conf_Adapt_Drift,5,9.991,64.2,0.279
goat,K5_Tam_Sistem,5,26.444,20.2,0.773
car-roundabout,K0_LK_only,20,40.003,8.2,0.55
car-roundabout,K1_LK_FB,20,6.535,17.7,0.26
car-roundabout,K2_LK_FB_Conf,20,6.535,17.7,0.26
car-roundabout,K3_LK_FB_Conf_Adapt,20,6.301,18.9,0.182
car-roundabout,K4_LK_FB_Conf_Adapt_Drift,20,6.36,20.6,0.159
car-roundabout,K5_Tam_Sistem,20,145.046,12.1,0.407
motocross-jump,K0_LK_only,25,46.856,10.2,0.412
motocross-jump,K1_LK_FB,25,41.316,11.8,0.295
motocross-jump,K2_LK_FB_Conf,25,41.316,11.8,0.295
motocross-jump,K3_LK_FB_Conf_Adapt,25,38.432,14.8,0.065
motocross-jump,K4_LK_FB_Conf_Adapt_Drift,25,38.432,14.8,0.065
motocross-jump,K5_Tam_Sistem,25,68.748,12.2,0.257
breakdance,K0_LK_only,25,119.449,3.0,0.938
breakdance,K1_LK_FB,25,78.635,26.3,0.506
breakdance,K2_LK_FB_Conf,25,78.635,26.3,0.506
breakdance,K3_LK_FB_Conf_Adapt,25,79.349,27.5,0.483
breakdance,K4_LK_FB_Conf_Adapt_Drift,25,79.349,27.5,0.483
breakdance,K5_Tam_Sistem,25,84.761,11.0,0.732
drift-chicane,K0_LK_only,25,2.193,5.0,0.84
drift-chicane,K1_LK_FB,25,1.783,5.4,0.831
drift-chicane,K2_LK_FB_Conf,25,1.783,5.4,0.831
drift-chicane,K3_LK_FB_Conf_Adapt,25,1.951,6.0,0.813
drift-chicane,K4_LK_FB_Conf_Adapt_Drift,25,1.767,6.5,0.804
drift-chicane,K5_Tam_Sistem,25,2.417,5.4,0.829
drift-straight,K0_LK_only,25,47.071,1.0,0.942
drift-straight,K1_LK_FB,25,15.63,5.3,0.686
drift-straight,K2_LK_FB_Conf,25,15.63,5.3,0.686
drift-straight,K3_LK_FB_Conf_Adapt,25,15.658,13.8,0.147
drift-straight,K4_LK_FB_Conf_Adapt_Drift,25,15.658,13.8,0.147
drift-straight,K5_Tam_Sistem,25,80.148,6.1,0.639
judo,K0_LK_only,25,23.767,1.4,0.899
judo,K1_LK_FB,25,2.488,9.4,0.574
judo,K2_LK_FB_Conf,25,2.488,9.4,0.574
judo,K3_LK_FB_Conf_Adapt,25,2.252,10.6,0.533
judo,K4_LK_FB_Conf_Adapt_Drift,25,2.25,10.8,0.522
judo,K5_Tam_Sistem,25,15.597,6.7,0.718
soapbox,K0_LK_only,25,24.967,13.9,0.775
soapbox,K1_LK_FB,25,4.719,27.7,0.575
soapbox,K2_LK_FB_Conf,25,4.719,27.7,0.575
soapbox,K3_LK_FB_Conf_Adapt,25,4.111,35.8,0.437
soapbox,K4_LK_FB_Conf_Adapt_Drift,25,4.029,36.8,0.422
soapbox,K5_Tam_Sistem,25,17.408,26.6,0.555
dogs-jump,K0_LK_only,25,232.337,17.2,0.664
dogs-jump,K1_LK_FB,25,119.806,34.3,0.302
dogs-jump,K2_LK_FB_Conf,25,119.806,34.3,0.302
dogs-jump,K3_LK_FB_Conf_Adapt,25,1.734,40.0,0.079
dogs-jump,K4_LK_FB_Conf_Adapt_Drift,25,1.734,40.0,0.079
dogs-jump,K5_Tam_Sistem,25,132.929,15.2,0.686
parkour,K0_LK_only,25,64.936,27.2,0.357
parkour,K1_LK_FB,25,5.375,40.1,0.064
parkour,K2_LK_FB_Conf,25,5.375,40.1,0.064
parkour,K3_LK_FB_Conf_Adapt,25,5.571,41.5,0.027
parkour,K4_LK_FB_Conf_Adapt_Drift,25,5.571,41.5,0.027
parkour,K5_Tam_Sistem,25,61.157,36.5,0.152
india,K0_LK_only,25,27.975,18.4,0.664
india,K1_LK_FB,25,4.148,23.8,0.554
india,K2_LK_FB_Conf,25,4.148,23.8,0.554
india,K3_LK_FB_Conf_Adapt,25,3.812,27.7,0.475
india,K4_LK_FB_Conf_Adapt_Drift,25,3.79,29.1,0.45
india,K5_Tam_Sistem,25,34.624,17.1,0.69
pigs,K0_LK_only,15,20.633,9.0,0.798
pigs,K1_LK_FB,15,4.078,24.5,0.497
pigs,K2_LK_FB_Conf,15,4.078,24.5,0.497
pigs,K3_LK_FB_Conf_Adapt,15,4.017,25.3,0.478
pigs,K4_LK_FB_Conf_Adapt_Drift,15,3.899,31.0,0.369
pigs,K5_Tam_Sistem,15,95.408,7.5,0.861
cows,K0_LK_only,10,7.312,0.0,1.0
cows,K1_LK_FB,10,3.011,19.6,0.807
cows,K2_LK_FB_Conf,10,3.011,19.6,0.807
cows,K3_LK_FB_Conf_Adapt,10,3.232,38.6,0.617
cows,K4_LK_FB_Conf_Adapt_Drift,10,3.232,38.6,0.617
cows,K5_Tam_Sistem,10,4.285,16.2,0.841
gold-fish,K0_LK_only,25,27.829,1.8,0.912
gold-fish,K1_LK_FB,25,5.1,32.7,0.462
gold-fish,K2_LK_FB_Conf,25,5.1,32.7,0.462
gold-fish,K3_LK_FB_Conf_Adapt,25,4.928,33.9,0.414
gold-fish,K4_LK_FB_Conf_Adapt_Drift,25,4.024,40.0,0.334
gold-fish,K5_Tam_Sistem,25,42.318,35.2,0.472
paragliding-launch,K0_LK_only,25,35.312,7.7,0.897
paragliding-launch,K1_LK_FB,25,13.7,45.3,0.373
paragliding-launch,K2_LK_FB_Conf,25,13.7,45.3,0.373
paragliding-launch,K3_LK_FB_Conf_Adapt,25,8.868,57.4,0.217
paragliding-launch,K4_LK_FB_Conf_Adapt_Drift,25,8.876,58.6,0.202
paragliding-launch,K5_Tam_Sistem,25,83.479,18.4,0.749
camel,K0_LK_only,10,17.893,26.4,0.566
camel,K1_LK_FB,10,2.689,38.0,0.424
camel,K2_LK_FB_Conf,10,2.689,38.0,0.424
camel,K3_LK_FB_Conf_Adapt,10,2.774,44.5,0.351
camel,K4_LK_FB_Conf_Adapt_Drift,10,2.767,52.5,0.261
camel,K5_Tam_Sistem,10,105.367,6.0,0.916
blackswan,K0_LK_only,5,2.787,0.0,1.0
blackswan,K1_LK_FB,5,2.787,0.0,1.0
blackswan,K2_LK_FB_Conf,5,2.787,0.0,1.0
blackswan,K3_LK_FB_Conf_Adapt,5,2.901,0.0,1.0
blackswan,K4_LK_FB_Conf_Adapt_Drift,5,2.901,0.0,1.0
blackswan,K5_Tam_Sistem,5,2.901,0.0,1.0
dog,K0_LK_only,10,17.731,4.1,0.849
dog,K1_LK_FB,10,8.808,24.7,0.382
dog,K2_LK_FB_Conf,10,8.808,24.7,0.382
dog,K3_LK_FB_Conf_Adapt,10,8.543,29.5,0.228
dog,K4_LK_FB_Conf_Adapt_Drift,10,8.03,36.6,0.098
dog,K5_Tam_Sistem,10,16.256,10.2,0.705
bike-packing,K0_LK_only,25,32.965,10.3,0.712
bike-packing,K1_LK_FB,25,3.662,36.0,0.179
bike-packing,K2_LK_FB_Conf,25,3.662,36.0,0.179
bike-packing,K3_LK_FB_Conf_Adapt,25,3.48,37.3,0.155
bike-packing,K4_LK_FB_Conf_Adapt_Drift,25,3.343,37.8,0.141
bike-packing,K5_Tam_Sistem,25,37.3,26.8,0.362
shooting,K0_LK_only,25,29.526,13.9,0.269
shooting,K1_LK_FB,25,12.601,17.0,0.102
shooting,K2_LK_FB_Conf,25,12.601,17.0,0.102
shooting,K3_LK_FB_Conf_Adapt,25,12.932,17.3,0.089
shooting,K4_LK_FB_Conf_Adapt_Drift,25,12.932,17.3,0.089
shooting,K5_Tam_Sistem,25,28.429,15.1,0.21
lab-coat,K0_LK_only,25,10.461,1.2,0.968
lab-coat,K1_LK_FB,25,9.57,3.0,0.915
lab-coat,K2_LK_FB_Conf,25,9.57,3.0,0.915
